                                                                                                                                                                                                                                                                
                        1                        2
                   M_star                   R_star
  0.3580560000000000E+034  0.3494261946697958E+012
                        1                        2                        3                        4                        5
                        l                     n_pg                 Re(freq)                 Im(freq)                   E_norm
                        0                        1  0.2403565221338622E+002  0.0000000000000000E+000  0.6058620314684013E-001
                        0                        2  0.4539641876636578E+002  0.0000000000000000E+000  0.4051439558444791E-002
                        0                        3  0.6460138448951319E+002  0.0000000000000000E+000  0.6339689831928210E-003
                        0                        4  0.8269767329019074E+002  0.0000000000000000E+000  0.1459218764044848E-003
                        0                        5  0.1003499744903079E+003  0.0000000000000000E+000  0.4036708548291365E-004
                        0                        6  0.1173759829328846E+003  0.0000000000000000E+000  0.1160402143832852E-004
                        0                        7  0.1332355702096058E+003  0.0000000000000000E+000  0.4229847871805804E-005
                        0                        8  0.1489056555389286E+003  0.0000000000000000E+000  0.2271482946274949E-005
