                                                                                                                                                                                                                                                                
                        1                        2
                   M_star                   R_star
  0.1989200000000000E+034  0.1748815614062691E+013
                        1                        2                        3                        4                        5
                        l                     n_pg                 Re(freq)                 Im(freq)                   E_norm
                        0                        9  0.1048655954288515E+002  0.0000000000000000E+000  0.4650708235326934E-004
                        0                       10  0.1165169600481823E+002  0.0000000000000000E+000  0.4705840976682707E-004
                        0                       11  0.1282486874713130E+002  0.0000000000000000E+000  0.4775260586030394E-004
                        0                       12  0.1399787700345215E+002  0.0000000000000000E+000  0.4841995611537742E-004
                        0                       13  0.1517797513475299E+002  0.0000000000000000E+000  0.4874451361848538E-004
                        0                       14  0.1635944182730604E+002  0.0000000000000000E+000  0.4917128627625242E-004
                        0                       15  0.1754230087613177E+002  0.0000000000000000E+000  0.4884716125354252E-004
                        0                       16  0.1872760733193577E+002  0.0000000000000000E+000  0.4871087138514336E-004
                        0                       17  0.1991301258393520E+002  0.0000000000000000E+000  0.4786845211606932E-004
                        0                       18  0.2109961960746307E+002  0.0000000000000000E+000  0.4704954436402344E-004
                        0                       19  0.2228601133554213E+002  0.0000000000000000E+000  0.4575182778904769E-004
                        0                       20  0.2347292360122944E+002  0.0000000000000000E+000  0.4439299271329597E-004
                        0                       21  0.2465918884890677E+002  0.0000000000000000E+000  0.4273284554943256E-004
                        0                       22  0.2584522960444054E+002  0.0000000000000000E+000  0.4097479074903326E-004
                        0                       23  0.2703027329003532E+002  0.0000000000000000E+000  0.3910727398451672E-004
                        0                       24  0.2821469987177238E+002  0.0000000000000000E+000  0.3718467376968045E-004
                        0                       25  0.2939772684900500E+002  0.0000000000000000E+000  0.3525717662863834E-004
                        0                       26  0.3057952103426193E+002  0.0000000000000000E+000  0.3339045070565950E-004
                        0                       27  0.3175999508889067E+002  0.0000000000000000E+000  0.3161726778878949E-004
                        0                       28  0.3293888842575302E+002  0.0000000000000000E+000  0.2998037709717607E-004
                        0                       29  0.3411644863095550E+002  0.0000000000000000E+000  0.2851874599944338E-004
                        0                       30  0.3529263808867739E+002  0.0000000000000000E+000  0.2724516126597318E-004
                        0                       31  0.3646745833743157E+002  0.0000000000000000E+000  0.2618941887047974E-004
                        0                       32  0.3764133662268108E+002  0.0000000000000000E+000  0.2537494035966740E-004
                        0                       33  0.3881458382395393E+002  0.0000000000000000E+000  0.2480081236591557E-004
                        0                       34  0.3998732437781571E+002  0.0000000000000000E+000  0.2447955255459551E-004
                        0                       35  0.4116039271585207E+002  0.0000000000000000E+000  0.2439521750634327E-004
                        0                       36  0.4233390047221270E+002  0.0000000000000000E+000  0.2452907423126806E-004
                        0                       37  0.4350810182541446E+002  0.0000000000000000E+000  0.2488496567409417E-004
                        0                       38  0.4468365966622694E+002  0.0000000000000000E+000  0.2540776648370130E-004
                        0                       39  0.4586023018412398E+002  0.0000000000000000E+000  0.2610248781116738E-004
                        0                       40  0.4703844151035516E+002  0.0000000000000000E+000  0.2692122395690350E-004
                        0                       41  0.4821802031277990E+002  0.0000000000000000E+000  0.2784771743690466E-004
                        0                       42  0.4939924411955128E+002  0.0000000000000000E+000  0.2883426467187930E-004
                        0                       43  0.5058175564284588E+002  0.0000000000000000E+000  0.2982980131889761E-004
                        0                       44  0.5176554673928677E+002  0.0000000000000000E+000  0.3082859030539687E-004
                        0                       45  0.5295055539884547E+002  0.0000000000000000E+000  0.3177024743225301E-004
                        0                       46  0.5413635285247645E+002  0.0000000000000000E+000  0.3263277152716329E-004
                        0                       47  0.5532298062691595E+002  0.0000000000000000E+000  0.3341426679895645E-004
                        0                       48  0.5651029013312806E+002  0.0000000000000000E+000  0.3409738099020988E-004
                        0                       49  0.5769839148453163E+002  0.0000000000000000E+000  0.3464053508259453E-004
                        0                       50  0.5888684962017101E+002  0.0000000000000000E+000  0.3500072015917650E-004
                        0                       51  0.6007534435841279E+002  0.0000000000000000E+000  0.3521464262342738E-004
                        0                       52  0.6126404892001032E+002  0.0000000000000000E+000  0.3529193295345949E-004
                        0                       53  0.6245288313302567E+002  0.0000000000000000E+000  0.3518773553644229E-004
                        0                       54  0.6364147895106638E+002  0.0000000000000000E+000  0.3490791148755192E-004
