,kic,hsig1,htau1,hexp1,hsig2,htau2,hexp2,hsig3,htau3,hexp3,numax,width,height,white,hsig1_err,htau1_err,hexp1_err,hsig2_err,htau2_err,hexp2_err,hsig3_err,htau3_err,hexp3_err,numax_err,width_err,height_err,white_err
918,11517524,1840.9504321548286,0.03820944902578253,5.344641317347729,418.2310241218322,0.011069539039335007,4.917440792201037,11542.33228474619,1.9166813442630355,2.357728226485985,103.62394862720826,32.45638178585408,5.7626326141547155,14.295870388842411,55.50634774459297,0.0009466737852874626,2.0914973560175567,15.080571664697974,0.000139226609655042,2.141627833465737,4753.949649882735,1.1544754230526122,1.1511285414806354,0.5029608493417989,1.2293658025818084,0.0352884069150501,0.26095837218747103
919,9958567,29023.546460782803,0.1308577836175716,5.208199597827802,7880.127693886222,0.040669319164296336,5.143146388435513,44332.90865207055,0.7518003857096079,2.3302263769529774,24.67380922887501,9.54275853620457,9.182695539583328,26.369578616596705,2238.23967504625,0.009328976978459805,2.4355741272641502,1201.2049373910136,0.0014574072657807082,1.9462737002241943,9581.819160240097,0.07996154673132377,1.108344503755287,0.2713343734428863,0.4930427365452679,0.05577332791619045,0.1864857205439452
920,4469602,14550.910615453018,0.10871099800941507,4.599065104024851,2831.63377413284,0.03149108597618293,4.757312102126661,35159.32425173038,1.4711419631428184,2.358369991262624,32.42377388038622,12.601944720075474,8.308378435840702,23.85626097448852,941.184563666077,0.0051679318129429505,2.0653013594905145,260.8615917483622,0.0007375184101198257,2.127422753746345,16764.62381062124,0.35110438750296524,1.1280002886910243,0.323007387365949,0.5474268408176002,0.04935905839870016,0.2196168749987525
921,9589638,11618.339236012169,0.08631025295109873,4.6745427593080615,2301.241190142634,0.02497073812905286,4.62482992634905,29460.191656386654,0.9308137805968748,2.6323265452926545,40.10221564172723,12.584847064250132,8.02312978421081,28.609043599551658,587.2408526911437,0.003977248167723309,2.3210548403560898,247.22835187811063,0.0006865042060423644,2.132004916921185,10066.42700040702,0.1256664195463859,1.0779325462228404,0.25149329301758416,0.4277539064472933,0.046678078801715865,0.24564793245986016
922,8955683,5221.254273117611,0.06846340878038791,5.336140911411121,890.8043136717946,0.019755057966872512,4.8745350316146565,22920.11231479875,1.0673515917976617,2.495418641100628,47.39539469831704,19.90161081944284,6.714710650992081,14.041967317213857,207.35011538469257,0.002202731319762506,2.2679099975719432,83.93403219845655,0.0004757529329140504,2.4366924841997757,9928.872562156414,0.14953585611036768,1.1387549016686132,0.530812944517707,0.8376056745936898,0.04908051644614999,0.1463680700280579
923,12116393,6166.161675344285,0.06546396069312216,5.184555734592281,1423.456751289488,0.017867594002910412,4.7165599188592005,19802.39726301192,1.5835598122418286,2.457128067717159,62.26442611442536,18.680300316203308,7.5896209360728495,26.061510650070637,234.22369807289874,0.001980334913697372,2.3580248266112647,69.03606860730288,0.00026121634466204965,2.293711487147329,6246.632400165356,0.8037156222578284,1.021605067905208,0.24131117115517065,0.5131527128914072,0.02767872951392449,0.3627466178601726
924,2438140,4537.844715886527,0.05248016795477309,4.968698644202973,952.9219962730767,0.014071627448835774,5.776474039656501,16875.865785207832,1.0343509184277095,2.8411217263966217,71.80795678390672,17.508778832810712,7.184975863323902,631.5387056959048,49.31584581735751,0.0012817423778735053,2.3348930534222627,16.47658215590722,0.00038670873533274466,2.2910307010248583,4237.095693568328,0.07085347496393224,1.01781884801357,0.4367394161584263,0.9885055419126528,0.04930319564577993,4.120999991526687
925,8475025,1456.2845471691107,0.035148765190875605,5.368107469094408,305.15974189972815,0.009219111487030049,4.813526876164651,11313.625322207434,1.3009218380493246,2.601079595293124,113.12332290855942,24.363440394964943,6.254432056710272,22.366281959040734,41.354470154036434,0.0006902909939740591,2.0267110407616853,10.024875604466626,0.0001339449518692321,2.141412112190055,3180.8450559232174,0.3026679614970297,1.1256754916887255,0.22794728447525545,0.6730455290483849,0.033773394018795526,0.4024765439587328
926,2437402,13735.545015448351,0.08580368217649295,5.3185706387917095,3154.410992645568,0.02400220055215602,5.477768944604684,33287.341923386375,0.8702097232142679,2.5412283246007217,45.688718924791814,17.109207449325645,8.069756717117416,497.9103597531125,674.149589089532,0.002895659201563171,2.213479001555212,101.88360634586529,0.0004756135075467749,2.3055834049462973,4900.95814489625,0.05955023407668718,1.1371902701805208,0.29853441291724225,0.8533498510465607,0.04064582492229814,3.3357121542098414
927,11245307,17811.156224560433,0.10439887769458643,5.2015531071322245,3693.255047959704,0.030660338025052063,4.769345261128988,35922.53036165004,1.226458649929057,2.6519184029343683,34.46261018756186,11.830915461457698,8.507653861190084,29.68033295096395,1546.3425981561422,0.0070917153482447795,2.1948885070484194,519.6466045583368,0.0010726607967659642,2.5202146896117426,13933.321399325154,0.3205526211550208,1.0616739547758465,0.2964843658578371,0.5527146066075478,0.04735013860747938,0.3575138495744384
928,5112744,8344.405091182109,0.09123787199856052,4.8105666920867005,2372.157030199844,0.025724630066715624,4.504163467454472,25848.159735526577,1.010674755871133,2.4017516748273176,44.786468385470066,14.366263811129846,7.578980741878543,54.450598293999825,472.97476279057236,0.005044971743655025,2.1960506221401537,164.28437624917552,0.000504255521868141,1.869163935782557,11206.54506615182,0.1696290013644316,1.1391287996343606,0.2887154578319653,0.6484119855696306,0.056705283402256675,0.45012420407921017
929,7020371,93922.07871661024,0.212003454811626,5.283637251867696,20479.52928713384,0.06328535813972615,5.0195519338056,44191.073523431056,1.8800061265175696,2.346186213348203,15.29300621472943,5.845881203041895,10.482014144484374,59.08909481942319,7315.257198139863,0.014586767427238297,2.141873204740635,3855.3406643887624,0.0029011824147090392,2.2695223287095567,10671.421023383276,0.3917457417292763,1.0002747158587066,0.14563091675036274,0.26960369748034835,0.05014456173712528,0.4829286230255877
930,4143460,7624.079687737229,0.07835978294398531,5.240577592851278,1580.7408968940783,0.02355072309604435,4.728807537119418,28542.752981201982,1.325230159870071,2.3112797593175163,40.15850938532757,13.999027613751107,7.942532070949338,21.620045884663853,388.35555304066577,0.0032807322777886412,2.2154024480291143,180.75054867343349,0.000661347743247807,2.108345106438878,12556.043889063403,0.2396216946455713,1.0915124535859912,0.2937912241579639,0.5643837795782541,0.03994283347656757,0.1993433671402146
