KIC,P12,G,2MASS,GLAT,GLON,Teffc,e_Teffc,Teff,e_Teff,Dnu,e_Dnu,numax,e_numax,Notes,Teff1,e_Teff1,[M/H]1,e_[M/H]1,M1,E_M1,e_M1,R1,E_R1,e_R1,log.g1,E_log.g1,e_log.g1,rho1,E_rho1,e_rho1,Teff2,e_Teff2,[M/H]2,e_[M/H]2,M2,E_M2,e_M2,R2,E_R2,e_R2,log.g2,E_log.g2,e_log.g2,rho2,E_rho2,e_rho2,_RA,_DE
9328135,1,1,J18581872+4548138,75.837,17.958,4745,76,4564,71,5.73,0.15,55.29,1.12,"GOLD,KASC,PUBLIC                             ",4518,82,0.04,0.05,1.16,0.13,0.13,8.6,0.41,0.4,2.632,0.01,0.01,0.00182,0.00007,0.00007,4591,82,0.09,0.05,1.19,0.13,0.12,8.7,0.4,0.38,2.634,0.01,0.01,0.00181,0.00007,0.00007,284.57803,45.803848
9139859,1,1,J18575358+4531335,75.536,17.928,4781,69,4615,64,6.81,0.13,72.71,1.74,"GOLD,KASC,PUBLIC                             ",4477,73,0.27,0.04,1.29,0.12,0.12,7.94,0.31,0.3,2.748,0.011,0.013,0.00257,0.00007,0.00007,4561,73,0.37,0.04,1.34,0.14,0.13,8.07,0.32,0.3,2.752,0.01,0.012,0.00255,0.00007,0.00007,284.47324,45.525982
8936409,1,1,J18575942+4517479,75.317,17.83,4424,61,4239,56,1.22,0.04,6.96,0.33,"GOLD,KASC,PUBLIC,LUMINOUS_RGB                ",4174,96,-0.3,0.07,0.97,0.2,0.11,22.75,1.72,0.96,1.712,0.021,0.017,0.00008,0,0,4331,96,-0.28,0.07,1.04,0.21,0.15,23.38,1.71,1.3,1.72,0.021,0.019,0.00008,0,0,284.49759,45.296638
9004448,1,0,J18571301+4523074,75.354,17.989,4831,71,4651,66,3.45,0.17,27.01,0.67,PUBLIC                                       ,4481,81,0.08,0.05,1.03,0.21,0.13,11.65,1.04,0.69,2.319,0.011,0.011,0.00065,0.00004,0.00005,4564,81,0.13,0.05,1.04,0.25,0.17,11.69,1.2,0.83,2.322,0.011,0.011,0.00065,0.00005,0.00006,284.30423,45.38541
9265513,1,1,J18553496+4542376,75.569,18.371,4883,77,4717,72,5.36,0.11,48.21,0.96,"GOLD,KASC,PUBLIC                             ",4529,100,-0.4,0.07,1.04,0.1,0.09,8.68,0.35,0.32,2.578,0.009,0.01,0.00159,0.00005,0.00005,4599,100,-0.44,0.07,1.06,0.1,0.09,8.74,0.34,0.33,2.58,0.01,0.01,0.00159,0.00005,0.00005,283.89566,45.710442
9202995,1,0,J18560894+4539263,75.553,18.26,4909,80,4735,75,3.82,0.08,29.28,1.67,PUBLIC                                       ,4521,91,-0.17,0.06,0.93,0.13,0.08,10.53,0.47,0.32,2.363,0.017,0.013,0.0008,0.00002,0.00002,4593,91,-0.17,0.06,0.94,0.15,0.09,10.6,0.55,0.35,2.367,0.019,0.015,0.0008,0.00002,0.00002,284.03729,45.657318
9202597,1,0,J18551601+4541369,75.532,18.417,4842,71,4697,67,9.65,0.18,113.3,2.34,"GO,SEIS_INTEREST,RGB,PUBLIC                  ",4513,70,0.36,0.04,1.23,0.11,0.11,6.19,0.22,0.22,2.943,0.01,0.01,0.00517,0.00014,0.00014,4587,70,0.48,0.04,1.27,0.12,0.11,6.28,0.23,0.22,2.945,0.011,0.01,0.00513,0.00014,0.00014,283.81674,45.693581
8936339,1,1,J18575109+4516185,75.284,17.844,5070,78,4834,71,4.62,0.1,44.03,1.07,"GOLD,KASC,PUBLIC                             ",4793,83,0.02,0.05,1.56,0.12,0.09,11,0.38,0.19,2.545,0.01,0.011,0.00116,0.00003,0.00003,4793,83,0.03,0.05,1.56,0.12,0.09,11,0.37,0.18,2.546,0.01,0.011,0.00116,0.00003,0.00003,284.46292,45.27182
9003765,1,0,J18554201+4518569,75.187,18.214,4761,69,4599,65,6.02,0.13,59.22,1.22,"GO,SEIS_INTEREST,PUBLIC                      ",4474,84,0,0.05,1.16,0.12,0.12,8.34,0.34,0.35,2.661,0.011,0.01,0.00201,0.00006,0.00006,4559,84,0.04,0.05,1.19,0.12,0.11,8.41,0.34,0.33,2.664,0.01,0.011,0.002,0.00006,0.00006,283.92508,45.315819
8936104,1,0,J18572388+4512481,75.197,17.898,4672,72,4489,67,3.75,0.09,30.58,2.03,PUBLIC                                       ,4400,71,0.32,0.04,1.03,0.21,0.11,11.05,0.73,0.42,2.37,0.023,0.017,0.00077,0.00003,0.00003,4504,71,0.45,0.04,1.05,0.3,0.11,11.11,1,0.41,2.374,0.031,0.019,0.00077,0.00003,0.00003,284.34952,45.213371
8936084,1,1,J18571972+4516121,75.248,17.93,5111,91,4922,85,4.15,0.09,31.97,0.88,"GOLD,KASC,GO,RC,PUBLIC                       ",4878,104,-0.5,0.07,0.95,0.09,0.1,10.04,0.37,0.37,2.413,0.012,0.012,0.00094,0.00003,0.00003,4855,104,-0.6,0.07,0.93,0.11,0.1,9.98,0.4,0.4,2.41,0.014,0.013,0.00094,0.00003,0.00003,284.33221,45.270039
9264889,1,0,J18540886+4545470,75.53,18.624,5073,86,4839,79,7.4,0.19,82.48,1.6,"SEIS_INTEREST,RGB,PUBLIC                     ",4752,87,-0.08,0.06,1.5,0.16,0.15,7.91,0.36,0.34,2.817,0.009,0.01,0.00303,0.00011,0.00011,4763,87,-0.09,0.06,1.5,0.16,0.15,7.92,0.36,0.34,2.817,0.009,0.01,0.00302,0.00011,0.00011,283.53693,45.763081
9326421,1,0,J18543641+4550541,75.643,18.578,4945,88,4744,82,6.73,0.14,68.44,2.26,"GO,SEIS_INTEREST,RGB,PUBLIC                  ",4533,93,-0.23,0.06,1.11,0.16,0.14,7.62,0.39,0.38,2.721,0.016,0.017,0.00252,0.00008,0.00008,4602,93,-0.24,0.06,1.15,0.16,0.15,7.72,0.38,0.39,2.724,0.017,0.017,0.00251,0.00007,0.00007,283.65173,45.848358
9072262,1,1,J18543255+4529377,75.288,18.466,4885,85,4686,78,4.49,0.1,37.86,1.1,"GOLD,KASC,GO,PUBLIC                          ",4561,114,-0.76,0.08,1.03,0.13,0.12,9.74,0.48,0.46,2.474,0.014,0.015,0.00112,0.00003,0.00004,4623,114,-0.85,0.08,1.05,0.14,0.12,9.8,0.5,0.46,2.477,0.015,0.014,0.00112,0.00004,0.00004,283.63562,45.49382
9002344,1,1,J18530104+4518135,75.003,18.652,4807,81,4677,77,4.37,0.09,43.41,1.21,"GOLD,KASC,GO,PUBLIC                          ",4599,88,-0.1,0.06,1.7,0.21,0.18,11.72,0.54,0.52,2.53,0.013,0.013,0.00105,0.00003,0.00003,4650,88,-0.09,0.06,1.73,0.23,0.19,11.81,0.55,0.55,2.533,0.012,0.015,0.00105,0.00003,0.00003,283.25433,45.303768
9138411,1,0,J18544556+4531585,75.341,18.444,4139,71,     ,     ,0.71,0.04,3.68,0.12,"KASC,GO,PUBLIC,LUMINOUS_RGB                  ",3980,99,-0.38,0.07,1.16,0.33,0.24,34.34,4.22,3.06,1.431,0.015,0.017,0.00003,0,0,4138,99,-0.35,0.07,1.27,0.25,0.25,35.57,3.27,3.2,1.436,0.015,0.016,0.00003,0,0,283.68985,45.53294
9002884,1,0,J18540578+4520474,75.114,18.489,4276,64,4120,59,0.78,0.07,4.82,0.17,"KASC,GO,PUBLIC,LUMINOUS_RGB                  ",4072,97,-0.32,0.07,1.77,0.24,0.6,36.96,3.13,6.64,1.55,0.013,0.015,0.00003,0.00001,0,4229,97,-0.29,0.07,1.81,0.48,0.43,37.48,4.59,4.74,1.555,0.018,0.015,0.00003,0,0,283.52408,45.346512
