Inference for Stan model: anon_model_397458fbbd01e7b8f1803282df68c37b.
4 chains, each with iter=60000; warmup=30000; thin=1; 
post-warmup draws per chain=30000, total post-warmup draws=120000.

              mean se_mean     sd   2.5%    25%    50%    75%  97.5%  n_eff   Rhat
numax[15]   52.663   0.054  1.815 49.173 51.417 52.636 53.899  56.27   1138  1.003
numax[16]   49.533   0.054   1.18 46.736 48.876 49.751 50.385 51.252  473.0  1.006
numax[17]   43.686   1.678  6.182 30.807 39.844 44.001 47.313 56.349   14.0  1.191
numax[18]   47.964   0.007  0.385 47.226 47.701 47.958  48.22 48.732   2867  1.001
numax[19]    43.43     2.5  3.842 36.806 39.049 44.313 46.177 49.468    2.0  2.518
numax[20]   45.993   0.006  0.346 45.323 45.758 45.991 46.227 46.675   2929  1.003
numax[21]   46.491   0.059  1.922 42.702 45.197 46.499 47.794 50.245   1073  1.004
numax[22]   44.619   0.597  1.628 41.677 43.639 44.537 45.367 48.628    7.0  1.193
numax[23]   45.163   0.043   1.49 42.217 44.169 45.155 46.151 48.134   1225  1.003
numax[24]   45.603   0.008  0.304  45.01 45.398 45.601 45.809 46.197   1467  1.004
numax[25]   44.841   0.067   0.46  43.95 44.529 44.837 45.151 45.749   48.0   1.04
numax[26]   41.625    1.54  2.306 37.328 39.018 42.629 43.367  44.16    2.0  2.944
numax[27]   43.295   0.047  1.493 39.997 42.396 43.408 44.332 45.882   1004  1.002
numax[28]   45.181 6.79e-5   0.01 45.162 45.175 45.181 45.188   45.2  20859    1.0
numax[29]   39.088   1.981    2.9 36.576 37.341 37.664 38.999 45.556    2.0  3.898
numax[30]   43.414   0.325  1.716 40.151 42.268  43.36 44.515 46.942   28.0  1.074
numax[31]   44.416   0.001   0.09 44.238 44.356 44.416 44.476 44.593   4219  1.003
numax[32]   42.561   0.011  0.406 41.754 42.291 42.561 42.833 43.352   1389   1.01
numax[33]   43.168   0.001  0.084 43.004 43.112 43.169 43.225 43.332   4859  1.003
numax[34]   41.408   0.008  0.347 40.727 41.173 41.407 41.642  42.09   1987  1.001
numax[35]   40.774   0.004  0.215  40.35 40.628 40.775 40.918 41.194   2859  1.004
numax[36]   37.987   1.049  1.987 34.899 36.621 37.362 39.406 42.322    4.0  1.489
numax[37]   39.959   0.007  0.337   39.3  39.73 39.961 40.187  40.62   2243  1.006
numax[38]   39.022   0.013  0.663 37.686  38.59 39.033  39.47 40.296   2484  1.001
numax[39]    45.28   1.624  2.399 42.912 43.524 44.149 47.611 50.043    2.0  3.341
numax[40]   37.454   0.295  1.421 34.449 36.576  37.43 38.366 40.265   23.0  1.066
numax[41]   33.929   0.287  1.676 30.736 32.822 33.852 34.988 37.387   34.0  1.054
numax[42]    32.58   0.005  0.273 32.052 32.395 32.577 32.763 33.123   3653  1.001
numax[43]   32.308   0.011  0.869 30.599  31.72 32.309 32.902 34.004   5794    1.0
numax[44]   28.345 4.04e-4  0.026 28.294 28.327 28.345 28.363 28.397   4227  1.001
numax[45]   20.456   0.023  0.492 19.278 20.181 20.543 20.814 21.184  442.0  1.012
numax[46]   25.631   0.003  0.136 25.366 25.539  25.63 25.723 25.895   2915  1.003
numax[47]   17.376   0.039  1.201 14.993 16.581 17.383 18.169 19.726  972.0  1.014
numax[48]     13.9   0.217  0.932 11.764 13.375 13.906  14.48  15.69   18.0  1.082
numax[49]    7.303   0.009  0.335  6.651  7.078  7.304  7.529  7.957   1524  1.006
numax[50]    5.129   0.473   1.36  2.196  4.237  5.296  6.051  7.563    8.0  1.276
G[1]         2.977   0.651  0.946  1.324  2.078  3.377  3.595  4.065    2.0  4.219
G[2]         2.592   0.728  1.081  1.385  1.562  2.031  3.602  4.441    2.0  3.169
G[3]         2.333   0.014  0.279  1.715  2.184  2.362  2.518  2.828  379.0  1.008
G[4]         3.095   0.047  0.447  1.654  2.873  3.062  3.306  4.054   90.0  1.034
G[5]         3.086   0.146  0.647  1.252  2.967  3.173  3.414  3.997   20.0  1.213
G[6]         3.815   0.018  0.481  2.854  3.496  3.809  4.128  4.761  684.0  1.006
G[7]         2.774   0.026  0.379  1.639  2.617  2.815  2.993  3.402  213.0  1.014
G[8]         2.917   0.003  0.152  2.639  2.817   2.91  3.009  3.241   3295  1.002
G[9]         3.643   0.007   0.31  3.159  3.422    3.6  3.817  4.364   2139  1.001
G[10]        2.571   0.054  0.596  1.685  2.323  2.454  2.631  4.245  121.0  1.034
G[11]        3.806   0.034  0.572  2.571  3.452  3.837  4.192  4.874  285.0  1.014
G[12]        3.035   0.005  0.206  2.649  2.921  3.028  3.141  3.457   1608  1.003
G[13]        3.228   0.013  0.627  2.035  2.796  3.214  3.651  4.465   2312  1.003
G[14]         2.71   0.021  0.479   1.74  2.405  2.644  2.956  3.863  502.0  1.004
G[15]        2.625   0.024    0.3  1.733  2.477  2.637  2.798  3.167  152.0  1.016
G[16]        2.837   0.004  0.185  2.517  2.711  2.822  2.947   3.24   2383  1.004
G[17]        2.446    0.01  0.234  1.777  2.343  2.466  2.585  2.844  498.0  1.015
G[18]        3.568   0.006  0.261  3.164  3.391  3.529  3.701  4.199   2227  1.001
G[19]        2.559    0.41  0.615  1.466  2.328  2.766   2.96  3.423    2.0  2.921
G[20]        3.127   0.013  0.391  2.524  2.882    3.1  3.353  3.951  897.0  1.003
G[21]        3.204   0.019  0.622   1.58  2.877  3.198  3.582  4.409   1095  1.001
G[22]         3.12   0.004  0.294  2.672  2.917  3.073  3.272  3.831   4690  1.001
G[23]        2.868    0.01  0.536  1.617  2.597  2.868  3.167  3.979   2722  1.002
G[24]        3.272   0.004  0.226   2.88  3.118  3.254  3.405  3.771   3463  1.001
G[25]        3.045   0.614  0.938  1.409  1.803  3.362  3.693  4.355    2.0  2.587
G[26]        2.486   0.373  0.544  1.503  2.043  2.708  2.835  3.155    2.0  3.975
G[27]        3.457   0.015  0.569  2.514   2.99  3.465  3.862  4.583   1394  1.002
G[28]         3.34   0.015  0.552  2.086  3.038  3.313  3.659  4.432   1392  1.002
G[29]        1.919   0.647  0.928  1.256  1.355  1.424  2.111  3.927    2.0  5.614
G[30]        3.014   0.016  0.454  2.073  2.757  2.981  3.259  4.002  777.0  1.016
G[31]        2.159   0.005  0.198  1.785  2.019   2.16  2.299  2.537   1546  1.002
G[32]        3.125   0.044  0.835  1.747  2.423  2.957  3.829  4.715  358.0  1.019
G[33]        2.967   0.006  0.277  2.554   2.78  2.923  3.101  3.652   2118  1.003
G[34]        3.579   0.006  0.363   2.99  3.325  3.534  3.785  4.422   4042  1.001
G[35]        3.356   0.006  0.323  2.852  3.132  3.311  3.534  4.117   2658  1.001
G[36]        2.365   0.276  0.423  1.617  2.006    2.5  2.625  2.974    2.0  2.543
