                                                                                                                                                                                                                                                                
                        1                        2
                   M_star                   R_star
  0.1989200000000000E+034  0.2775565322565046E+012
                        1                        2                        3                        4                        5
                        l                     n_pg                 Re(freq)                 Im(freq)                   E_norm
                        0                        1  0.2596948680938254E+002  0.0000000000000000E+000  0.4860606115714985E-001
                        0                        2  0.4831603408197761E+002  0.0000000000000000E+000  0.2759879816731076E-002
                        0                        3  0.6803941404858958E+002  0.0000000000000000E+000  0.3814859555099728E-003
                        0                        4  0.8686683731163245E+002  0.0000000000000000E+000  0.8033356513640106E-004
                        0                        5  0.1051757754979329E+003  0.0000000000000000E+000  0.1830748935731891E-004
                        0                        6  0.1218862222083023E+003  0.0000000000000000E+000  0.5503903072932522E-005
                        0                        7  0.1383535478118771E+003  0.0000000000000000E+000  0.2655150013496000E-005
