KIC,ns,dnu,numax,G,phi,tau,epsilon,alpha,A,IMass,Metallicity
11135910,"[6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0]",3.6563425354833123,29.531820344638,2.027481091442674,2.4506168136008855,10.1698270474313,0.03602156494925059,0.02015430452045452,0.09031933512159251,1.1,-0.58
9333501,"[6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0]",3.462366027464333,26.65117646417192,1.7620466618601185,2.685819435265861,11.489528437034005,0.02968874895138303,0.019028555394170123,0.15380967211949373,1.08,-0.63
9143834,"[4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0]",2.3203212666878805,15.782414788057608,3.9483475513161137,0.9390489904394813,13.726353681737844,0.6894948067315647,0.039170566157051966,0.0397512239145501,1.09,-0.59
10678016,"[5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0]",3.7812532954255955,29.479599531826185,5.451104667845802,0.9761442077637977,13.063720997010579,0.7333776382129672,0.04975737015577755,0.026224104365176054,1.04,-0.59
9414068,"[4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0]",1.6447246102816633,10.464063331404525,3.196452891046729,0.5894322995334693,11.266281788006442,0.6513753335701943,0.09866507850208439,0.0845577797916171,1.01,-0.65
6431941,"[5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0]",2.7927413482344137,20.95810496420187,1.9880632699656362,0.748326075405237,13.94259080960999,-0.034931533426268827,0.023089450316948767,0.11743429641098653,1.05,-0.53
5860093,"[6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0]",5.5350522910088715,49.94126377474384,2.2955119926891268,2.05285587402675,11.927939419630894,0.12490065964452056,0.013793531105489932,0.09450974277148735,1.06,-0.54
10849541,"[5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0]",2.892758867380194,22.240832155789573,2.1305888300848097,0.08795240555403448,4.244869710195981,0.7782700832564712,0.03858939248952207,0.05129633485296881,1.15,-0.27
11074543,"[7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0]",6.033130443499044,58.35823672698684,2.150299710637365,2.1385087958982147,8.500540005791688,0.07199472605320668,0.016752416481142077,0.02287054426879449,1.1,-0.24
11598116,"[4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0]",2.5571798567416733,19.203240307284332,2.018030056576188,0.4538452749625106,8.832394081873518,0.6862440260580163,0.04234223130750414,0.03429116502171007,1.14,-0.29
11441797,"[7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0]",5.829381108181281,57.79024969988734,2.200195547067138,2.4350664541091787,8.586761572655243,0.07811234850230266,0.01340240820887798,0.00969198045148325,1.21,-0.23
11250152,"[6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0]",3.5137743713641494,29.404407933030615,3.4719507641178518,0.6804377257011979,13.112248808378112,0.027081129810994024,0.04659282335709378,0.10802608790548004,1.25,-0.23
11621486,"[7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0]",4.0224897384339044,36.412944718121516,2.2443721647570953,1.3459924517075479,8.083359418898638,0.02883709286907411,0.015775714665987806,0.048264066762228205,1.27,-0.37
11308784,"[7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0]",6.173767220740571,62.18448797765738,3.320968192794595,2.8375932674710085,9.573448236067138,0.0855443239473375,0.022496214196136944,0.05511365205200245,1.3,-0.26
11361765,"[8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0]",9.186575727204042,104.29009936434974,4.148603999297644,2.5944494621168,7.771442664444339,0.18537641740043204,0.025711486431209046,0.05819021187577711,1.25,-0.33
12120230,"[7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0]",5.270967199981515,50.52906530986139,4.216284082178573,1.488033275759892,13.066133709793105,0.06790180817597866,0.03693693126036107,0.011682545393843379,1.28,-0.34
9395535,"[6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0]",2.8377585288933473,22.40553983060379,3.5505149218736127,0.8622935668449636,13.304702593647514,0.14899363876056312,0.04646248817874867,0.1900795524085771,1.16,-0.31
10202184,"[9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0]",12.741319965416507,160.08180030546436,4.823291466659967,2.6762377370862485,15.815796557719167,0.19860186951964945,0.022185904460802215,0.1044128789872786,1.25,-0.32
10524715,"[7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0]",6.289891609839326,64.28690317482572,2.236871258123573,2.6528607276573477,13.283359075095056,0.12100178051281404,0.0137050434279977,-0.008405211993809345,1.29,-0.33
8284032,"[6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0]",4.266140819548547,38.96404890251649,2.1588282423559,2.6855004536942872,7.819965074597753,0.06242644950019877,0.011204069188806018,0.139079008216712,1.29,-0.37
9574650,"[9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0]",8.116269472816885,89.25151830028946,1.5465597741329704,6.2814249813553875,0.8202960040589513,0.26843908160701624,0.061598085961991435,67.2388016720457,1.17,-0.37
10816748,"[6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0]",3.8083363035915347,32.35813387205668,2.272475527085752,1.9113977478363693,8.253226770667734,0.05126839082953777,0.025047457457018304,-0.010325084601717029,1.2,-0.31
10992711,"[6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0]",4.056510460715145,35.32022386755643,2.105589625780463,2.306039580857192,12.964789261356998,0.011238011463129563,0.017874658299104722,0.1026459740061493,1.17,-0.29
8824452,"[7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0]",5.543415494278908,51.6645417163941,2.156297282649174,1.1837806119630723,12.776786461775847,0.10253938790445513,0.01177554978906475,0.10884762567174071,1.1,-0.36
9658793,"[6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0]",4.430463685435054,40.51387281543235,1.908913566778869,3.0446252179685382,9.537561001846727,0.0675312484615531,0.015671308664246663,0.02292221312326142,1.28,-0.25
10145279,"[6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0]",3.5462492157505987,30.626723626699135,1.8848410411314325,-0.8174309321997795,10.204612828650205,0.048796141588450116,0.01218754384140801,0.17521131250322988,1.29,-0.33
6191288,"[6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0]",3.1319843718382194,25.217783431298084,2.779237364761211,0.4443697960332413,5.463037806224325,-0.0041153665277956705,0.018196268143857348,0.07123237677060838,1.3,-0.32
7346442,"[7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0]",5.196508917787157,48.53181299915919,1.9389451009250898,3.7446466086224093,14.167293975441838,0.08327698305553703,0.015751515170272505,0.0554165621827878,1.15,-0.25
7670489,"[6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0]",4.044351873684688,35.10943859021702,2.3486326333520893,1.5933644758888477,14.522435871112492,0.014764592357973708,0.01604547427302661,0.048625612638460436,1.29,-0.33
3835996,"[7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0]",4.985888905412501,45.93362622706115,1.9756826820513962,3.3552090779225,8.318678303166154,0.06245538587180732,0.013966522321613061,0.04832235651771754,1.19,-0.29
4638317,"[5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0]",3.3974793391712352,27.904598097810855,2.064082338674233,2.2166392508997594,12.622986848658266,0.016243270468080488,0.02173751017442249,0.1860696104489088,1.17,-0.34
4543229,"[5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0]",3.1493199324152448,25.522270798396466,1.8378960869432213,2.1343384910372993,10.269930356231198,-0.02032393064408432,0.029663719926983707,0.0016467220829141926,1.17,-0.28
4937204,"[6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0]",4.39514121227662,40.31182610393225,2.129510493751571,0.859061639109568,10.132351069298572,0.0866918870123577,0.01307383185877521,0.14673361284401745,1.29,-0.36
4378473,"[5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0]",2.9148285607851228,24.227351747146567,1.988646280579433,-2.51370590033906,11.096630741914339,0.7225277181314679,0.029566009331195353,0.10524793052584987,1.3,-0.36
11599342,"[9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0]",10.785312330594603,131.80095537849073,2.278092437320037,3.1342455661512902,10.651126469057866,0.2085883893737665,0.008017942511783909,0.0822526661803654,1.4,-0.14
10670445,"[6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0]",3.666344852933188,30.224962413559314,6.514020417802091,-3.6915415688084976,14.478034911870328,0.6904919398714194,0.03615955991770322,0.07760329235286037,1.33,-0.11
10272641,"[8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0]",8.196156630592986,90.57502214308228,2.6580074879953997,2.6929176868376263,14.339211962618478,0.13925590604566276,0.012391384366235946,0.06068199582307014,1.3,-0.21
9761625,"[4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0]",1.42382220248593,9.33551725176331,1.963774370231056,0.4469127347218883,10.612534159065973,0.6385485330986084,0.015614786748849412,0.2505723801296497,1.44,-0.2
9883123,"[8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0]",8.26754314488004,94.61157645085487,2.2932182488684543,3.142230086107535,10.4179308726443,0.14865566119971796,0.013392904449919408,0.1088924747696385,1.45,-0.11
9080407,"[7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0]",4.688794586196918,45.585489677760776,3.920257161897849,2.52311823544104,11.190700721757391,0.09131677554272542,0.03550674869115287,0.09504172552730408,1.39,-0.19
9820702,"[7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0]",5.964242621238282,61.66555050072005,2.1486757538682717,1.1892667536046313,15.248629765961846,0.13028682476497572,0.01272870464823522,0.14212694115191368,1.41,-0.17
9222389,"[6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0]",3.564871602339372,31.528165827554346,2.0483628101950764,1.7873490679653576,11.586502104227039,0.000535233054072512,0.015064697996627581,0.10044309570688492,1.38,-0.16
9833073,"[6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0]",3.6211025074763414,31.646706592895733,1.9911427458395192,2.829865592617778,8.672565434840257,0.013435188334398489,0.015675465032808762,0.02239731509283158,1.4,-0.14
6935260,"[6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0]",4.576210277495613,42.91161063298969,2.027914848895855,1.1742003842487148,9.10791550363954,0.06947407205182665,0.013930853243912855,0.04342212356470322,1.31,-0.08
7950550,"[8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0]",5.618821990265479,60.46364642026434,4.817363057522006,6.0514938047993745,2.3304249872179614,-1.0650662053379933,0.023919535010884126,0.10755110077516365,1.37,-0.2
