                                                                                                                                                                                                                                                                
                        1                        2
                   M_star                   R_star
  0.3580560000000000E+034  0.5530463911962214E+012
                        1                        2                        3                        4                        5
                        l                     n_pg                 Re(freq)                 Im(freq)                   E_norm
                        0                        1  0.1169662644392444E+002  0.0000000000000000E+000  0.6994683987150575E-001
                        0                        2  0.2255001843991537E+002  0.0000000000000000E+000  0.3697412724163958E-002
                        0                        3  0.3193476301958823E+002  0.0000000000000000E+000  0.5024226126792870E-003
                        0                        4  0.4083326523886969E+002  0.0000000000000000E+000  0.1027456832870125E-003
                        0                        5  0.4934343081253355E+002  0.0000000000000000E+000  0.2305473305075273E-004
                        0                        6  0.5700234381936652E+002  0.0000000000000000E+000  0.7896715541708623E-005
                        0                        7  0.6482005174099649E+002  0.0000000000000000E+000  0.4374607635244173E-005
                        0                        8  0.7278369329396860E+002  0.0000000000000000E+000  0.2502553870591057E-005
                        0                        9  0.8050616470907842E+002  0.0000000000000000E+000  0.1806027244452117E-005
                        0                       10  0.8854045003503717E+002  0.0000000000000000E+000  0.1609449029697742E-005
                        0                       11  0.9675334709355981E+002  0.0000000000000000E+000  0.1383525474929486E-005
                        0                       12  0.1049015112252763E+003  0.0000000000000000E+000  0.1217730617980841E-005
                        0                       13  0.1131085662407610E+003  0.0000000000000000E+000  0.1164729113205756E-005
                        0                       14  0.1214316127813521E+003  0.0000000000000000E+000  0.1134580373462119E-005
                        0                       15  0.1297836799844902E+003  0.0000000000000000E+000  0.1096289192506340E-005
                        0                       16  0.1381520670798388E+003  0.0000000000000000E+000  0.1075051943553938E-005
                        0                       17  0.1465582713650966E+003  0.0000000000000000E+000  0.1063723215053720E-005
