                                                                                                                                                                                                                                                                
                        1                        2
                   M_star                   R_star
  0.1591360000000000E+034  0.1103595376434861E+013
                        1                        2                        3                        4                        5
                        l                     n_pg                 Re(freq)                 Im(freq)                   E_norm
                        0                        5  0.1081435917932997E+002  0.0000000000000000E+000  0.3449021522947350E-004
                        0                        6  0.1284689968062626E+002  0.0000000000000000E+000  0.2851566197391069E-004
                        0                        7  0.1483383133684537E+002  0.0000000000000000E+000  0.2770319568464856E-004
                        0                        8  0.1690301770002786E+002  0.0000000000000000E+000  0.2642937795527044E-004
                        0                        9  0.1896707601851028E+002  0.0000000000000000E+000  0.2616669997257266E-004
                        0                       10  0.2105577008729870E+002  0.0000000000000000E+000  0.2628858893042733E-004
                        0                       11  0.2315392901618421E+002  0.0000000000000000E+000  0.2651322868291446E-004
                        0                       12  0.2525806967324451E+002  0.0000000000000000E+000  0.2683292821189243E-004
                        0                       13  0.2737264306723579E+002  0.0000000000000000E+000  0.2732710743534302E-004
                        0                       14  0.2948816283550861E+002  0.0000000000000000E+000  0.2778447633481847E-004
                        0                       15  0.3161212141303611E+002  0.0000000000000000E+000  0.2830676305557019E-004
                        0                       16  0.3373593570976766E+002  0.0000000000000000E+000  0.2882068792378001E-004
                        0                       17  0.3586561710326450E+002  0.0000000000000000E+000  0.2934197005814415E-004
                        0                       18  0.3799554167776679E+002  0.0000000000000000E+000  0.2982642121245637E-004
                        0                       19  0.4012908897998918E+002  0.0000000000000000E+000  0.3031767719751901E-004
                        0                       20  0.4226344574056079E+002  0.0000000000000000E+000  0.3075056161675218E-004
                        0                       21  0.4439982026847206E+002  0.0000000000000000E+000  0.3116941995706093E-004
                        0                       22  0.4653730736155355E+002  0.0000000000000000E+000  0.3155059809371020E-004
                        0                       23  0.4867610749471419E+002  0.0000000000000000E+000  0.3187960513081247E-004
                        0                       24  0.5081566141417458E+002  0.0000000000000000E+000  0.3216980642791594E-004
                        0                       25  0.5295619726067515E+002  0.0000000000000000E+000  0.3241698471781013E-004
                        0                       26  0.5509739891355612E+002  0.0000000000000000E+000  0.3260960530596471E-004
                        0                       27  0.5723918563645916E+002  0.0000000000000000E+000  0.3275266007647480E-004
                        0                       28  0.5938133249450093E+002  0.0000000000000000E+000  0.3284952493488072E-004
                        0                       29  0.6152412780239028E+002  0.0000000000000000E+000  0.3288798665215559E-004
                        0                       30  0.6366694996098147E+002  0.0000000000000000E+000  0.3288747335585442E-004
                        0                       31  0.6581016331046013E+002  0.0000000000000000E+000  0.3283441185031511E-004
                        0                       32  0.6795357246063386E+002  0.0000000000000000E+000  0.3274314511950349E-004
                        0                       33  0.7009696101171031E+002  0.0000000000000000E+000  0.3261451803512614E-004
                        0                       34  0.7224063237874925E+002  0.0000000000000000E+000  0.3243094658013137E-004
                        0                       35  0.7438418634208250E+002  0.0000000000000000E+000  0.3222095669818212E-004
                        0                       36  0.7652768548498022E+002  0.0000000000000000E+000  0.3196854342722186E-004
                        0                       37  0.7867136023266760E+002  0.0000000000000000E+000  0.3167385445877838E-004
                        0                       38  0.8081452094173595E+002  0.0000000000000000E+000  0.3135162675824219E-004
                        0                       39  0.8295804979368430E+002  0.0000000000000000E+000  0.3100630598485817E-004
                        0                       40  0.8510089432035141E+002  0.0000000000000000E+000  0.3061880871090182E-004
                        0                       41  0.8724384677088375E+002  0.0000000000000000E+000  0.3023920083949504E-004
                        0                       42  0.8938631415644588E+002  0.0000000000000000E+000  0.2980710811946876E-004
                        0                       43  0.9152844685831353E+002  0.0000000000000000E+000  0.2939484834916519E-004
                        0                       44  0.9367062179747246E+002  0.0000000000000000E+000  0.2894666664827379E-004
                        0                       45  0.9581200542132302E+002  0.0000000000000000E+000  0.2848595619148973E-004
                        0                       46  0.9795322326919464E+002  0.0000000000000000E+000  0.2804271966661367E-004
                        0                       47  0.1000943925164112E+003  0.0000000000000000E+000  0.2758475810067432E-004
                        0                       48  0.1022349677641359E+003  0.0000000000000000E+000  0.2711993723264522E-004
                        0                       49  0.1043749567411411E+003  0.0000000000000000E+000  0.2666515271108796E-004
                        0                       50  0.1065147769163709E+003  0.0000000000000000E+000  0.2624235223100063E-004
                        0                       51  0.1086545151217421E+003  0.0000000000000000E+000  0.2579098557551568E-004
                        0                       52  0.1107935496649886E+003  0.0000000000000000E+000  0.2535374582447220E-004
                        0                       53  0.1129317255538623E+003  0.0000000000000000E+000  0.2491260672943501E-004
                        0                       54  0.1150696111072245E+003  0.0000000000000000E+000  0.2453462542601785E-004
                        0                       55  0.1172075206763669E+003  0.0000000000000000E+000  0.2416279187684784E-004
                        0                       56  0.1193451744955850E+003  0.0000000000000000E+000  0.2380184536707333E-004
                        0                       57  0.1214822828923907E+003  0.0000000000000000E+000  0.2344440056317386E-004
                        0                       58  0.1236188600494546E+003  0.0000000000000000E+000  0.2311679977483832E-004
                        0                       59  0.1257549069392402E+003  0.0000000000000000E+000  0.2281737724712186E-004
                        0                       60  0.1278907192681560E+003  0.0000000000000000E+000  0.2255684044960705E-004
                        0                       61  0.1300263458755680E+003  0.0000000000000000E+000  0.2233001838358498E-004
                        0                       62  0.1321620122791154E+003  0.0000000000000000E+000  0.2211190899541605E-004
                        0                       63  0.1342974992827667E+003  0.0000000000000000E+000  0.2194577650926307E-004
                        0                       64  0.1364328405678694E+003  0.0000000000000000E+000  0.2176694622673677E-004
                        0                       65  0.1385681172098925E+003  0.0000000000000000E+000  0.2164383047943805E-004
                        0                       66  0.1407032356963238E+003  0.0000000000000000E+000  0.2152766713274803E-004
                        0                       67  0.1428382957605263E+003  0.0000000000000000E+000  0.2144397985788637E-004
                        0                       68  0.1449732813154270E+003  0.0000000000000000E+000  0.2138051008894557E-004
                        0                       69  0.1471082648740731E+003  0.0000000000000000E+000  0.2134575432806561E-004
                        0                       70  0.1492433747512300E+003  0.0000000000000000E+000  0.2132647343954943E-004
