                                                                                                                                                                                                                                                                
                        1                        2
                   M_star                   R_star
  0.1989200000000000E+034  0.2771986395455258E+012
                        1                        2                        3                        4                        5
                        l                     n_pg                 Re(freq)                 Im(freq)                   E_norm
                        0                        1  0.2666161915349238E+002  0.0000000000000000E+000  0.4090298156272288E-001
                        0                        2  0.4890593925437830E+002  0.0000000000000000E+000  0.2394165910265248E-002
                        0                        3  0.6860293843683500E+002  0.0000000000000000E+000  0.3367956472453789E-003
                        0                        4  0.8742775664860824E+002  0.0000000000000000E+000  0.7432015357681059E-004
                        0                        5  0.1058362753481158E+003  0.0000000000000000E+000  0.1774502985709450E-004
                        0                        6  0.1226217576375269E+003  0.0000000000000000E+000  0.5523970959142895E-005
                        0                        7  0.1391261346130610E+003  0.0000000000000000E+000  0.2818570471226637E-005
