Inference for Stan model: anon_model_36d21e616971c881d1e45dd863be4cb0.
4 chains, each with iter=20000; warmup=10000; thin=1; 
post-warmup draws per chain=10000, total post-warmup draws=40000.

                  mean se_mean     sd   2.5%    25%    50%    75%  97.5%  n_eff   Rhat
numax[2]        29.796   0.007  0.302 29.198 29.593 29.798 30.003 30.384   1691  1.002
numax[3]        29.811   0.007  0.299 29.219 29.612 29.811 30.011 30.396   1889    1.0
numax[4]        160.66   0.425 11.178 138.59 154.36 160.15 166.39 185.83  693.0  1.005
numax[5]          5.47   0.018  0.503  4.586  5.174  5.405   5.71  6.634  759.0  1.006
numax[6]        76.219   0.159  4.101 68.068 73.498 76.211  79.01 84.235  666.0  1.004
numax[7]        93.873   0.013  0.618 92.652 93.454 93.876 94.297 95.059   2108  1.003
numax[8]         93.86   0.013  0.622 92.651 93.441 93.856  94.27 95.108   2463  1.002
numax[9]        18.526   0.035  0.905 16.781 17.898 18.525 19.163 20.288  659.0  1.012
numax[10]       60.128   0.006  0.266 59.603 59.949  60.13  60.31 60.642   2132  1.003
numax[11]       30.026   0.058  1.174  27.66  29.31 30.016 30.783  32.35  411.0  1.028
numax[12]       24.897   0.027  0.875 23.174 24.323 24.896  25.47 26.633   1023  1.005
numax[13]       37.191   0.049    1.3 34.587 36.332  37.21 38.077 39.668  706.0  1.003
numax[14]        29.76   0.045  1.239 27.414 28.908 29.723 30.577 32.302  743.0  1.003
numax[15]        5.951   0.047  0.602  4.835  5.553  5.912  6.321   7.24  162.0  1.033
numax[16]       31.306   0.046   1.29  28.78 30.417 31.334  32.19 33.758  803.0  1.011
numax[17]       32.043   0.053  1.396 29.299 31.093 32.043 32.972 34.838  691.0  1.004
numax[18]        76.39   0.147  4.201 68.325 73.512 76.332 79.211 84.805  817.0  1.002
numax[19]       31.707   0.013  0.455 30.795 31.401 31.711 32.018 32.581   1232  1.001
numax[20]       60.129   0.006  0.273 59.592 59.944 60.131 60.314 60.664   1854  1.003
numax[21]       37.455   0.058  1.503 34.461 36.442 37.495 38.491 40.282  664.0   1.01
numax[22]       45.612   0.048  1.334 42.951 44.708 45.621  46.52 48.211  787.0  1.006
numax[23]       37.113   0.052  1.362 34.505 36.194 37.098 38.001 39.954  679.0  1.006
numax[24]       37.174   0.049  1.332 34.564 36.261 37.184 38.082 39.759  754.0  1.002
numax[25]       134.03    0.46  6.519 122.23 129.99 133.64 137.53 148.19  201.0  1.028
numax[26]       84.066   0.127  3.807 76.919 81.459 83.982 86.597  91.65  896.0  1.004
numax[27]       21.469   0.026  0.774 19.955 20.951 21.463 21.994 22.982  886.0  1.003
numax[28]       31.269   0.041  1.257 28.779 30.424 31.298 32.118 33.731  937.0  1.007
numax[29]       29.043   0.047  1.313 26.444 28.149 29.045 29.956 31.592  792.0  1.001
numax[30]       57.364   0.075  1.962 53.394 56.034 57.392 58.753 61.022  681.0  1.002
numax[31]       113.31   0.073  2.084 109.49 111.88 113.23 114.68 117.69  815.0  1.005
numax[32]       22.437   0.006  0.147  22.15 22.336 22.436 22.536 22.727  639.0  1.006
numax[33]       73.408   0.189  4.205 65.858 70.456  73.17 76.143 82.477  494.0  1.006
numax[34]       31.341   0.041  1.189 29.009 30.535 31.337 32.159 33.668  849.0  1.007
numax[35]       31.089   0.003   0.11 30.874 31.013 31.088 31.163 31.307   1115  1.002
numax[36]       57.205   0.073  2.022 53.178  55.84 57.273 58.623 60.909  768.0  1.008
numax[37]       60.133   0.006  0.269 59.608 59.952  60.13 60.314 60.664   1888  1.001
numax[38]       61.064   0.099  2.608 56.047 59.297 61.031 62.777 66.314  698.0  1.012
numax[39]       56.919   0.011  0.361 56.207 56.676 56.921 57.167 57.615   1122  1.003
numax[40]       27.829    0.03  0.903  26.09 27.216 27.825 28.426 29.647  890.0  1.003
numax[41]       161.13   0.435 11.168 138.30 154.72 160.65 167.29 184.99  658.0  1.007
numax[42]       29.003   0.052   1.35 26.407 28.104 29.003 29.878 31.749  678.0  1.007
