Inference for Stan model: anon_model_36d21e616971c881d1e45dd863be4cb0.
4 chains, each with iter=15000; warmup=7500; thin=1; 
post-warmup draws per chain=7500, total post-warmup draws=30000.

                  mean se_mean     sd   2.5%    25%    50%    75%  97.5%  n_eff   Rhat
dnu[59]           6.05  3.9e-4 7.7e-3   6.03   6.04   6.05   6.05   6.06  376.0   1.01
dnu[60]           5.42  3.6e-4 8.4e-3    5.4   5.41   5.42   5.42   5.43  549.0    1.0
dnu[61]           4.65  2.8e-4 7.1e-3   4.63   4.64   4.65   4.65   4.66  638.0   1.01
dnu[62]           5.41  5.8e-4   0.01   5.39    5.4   5.41   5.42   5.43  386.0    1.0
dnu[63]           6.01  4.8e-4 7.4e-3   5.99    6.0   6.01   6.01   6.02  236.0   1.04
dnu[64]           4.63  3.7e-4 8.8e-3   4.61   4.62   4.63   4.64   4.65  563.0   1.01
dnu[65]            8.3  3.0e-4 6.6e-3   8.29   8.29    8.3    8.3   8.31  479.0   1.01
dnu[66]           5.28  5.1e-4 8.1e-3   5.27   5.28   5.28   5.29    5.3  255.0   1.02
dnu[67]           4.75  3.0e-4 6.7e-3   4.73   4.74   4.75   4.75   4.76  510.0   1.01
dnu[68]           5.66  3.2e-4 6.6e-3   5.65   5.66   5.66   5.67   5.67  426.0   1.01
dnu[69]            5.2  2.9e-4 6.1e-3   5.19    5.2    5.2    5.2   5.21  453.0   1.01
dnu[70]           6.36  3.5e-4 7.4e-3   6.34   6.35   6.36   6.36   6.37  448.0   1.01
dnu[71]            4.9  4.3e-4 8.1e-3   4.89    4.9    4.9   4.91   4.92  353.0   1.01
dnu[72]           5.97  2.9e-4 6.2e-3   5.96   5.97   5.97   5.98   5.98  451.0    1.0
dnu[73]           4.77  3.3e-4 7.8e-3   4.76   4.77   4.77   4.78   4.79  551.0   1.01
dnu[74]           4.76  4.0e-4 9.0e-3   4.74   4.75   4.76   4.76   4.77  501.0    1.0
dnu[75]           6.36  3.7e-4 7.6e-3   6.34   6.35   6.36   6.36   6.37  413.0   1.01
dnu[76]           4.73  4.6e-4 7.4e-3   4.72   4.73   4.73   4.74   4.75  255.0   1.02
dnu[77]           3.95  1.4e-3   0.02   3.91   3.94   3.95   3.97    4.0  231.0   1.02
dnu[78]           5.52  6.8e-4   0.01    5.5   5.51   5.52   5.53   5.55  365.0    1.0
dnu[79]           5.11  3.7e-4 8.4e-3   5.09   5.11   5.11   5.12   5.13  512.0    1.0
dnu[80]            6.5  3.7e-4 8.1e-3   6.48   6.49    6.5    6.5   6.51  484.0   1.01
numax[1]        101.97    0.03    0.6  100.8 101.58 101.97 102.37 103.12  428.0   1.01
numax[2]         47.81    0.02   0.34  47.14  47.58  47.81  48.04   48.5  369.0   1.01
numax[3]         57.26  9.2e-3   0.25  56.78  57.09  57.26  57.43  57.75  730.0    1.0
numax[4]         61.98    0.04   0.73  60.55  61.49  61.97  62.46  63.45  432.0   1.01
numax[5]          52.5  8.2e-3    0.2  52.12  52.37   52.5  52.64  52.88  581.0   1.01
numax[6]         49.26  5.6e-3   0.15  48.97  49.16  49.27  49.37  49.56  739.0   1.01
numax[7]         51.06    0.01    0.4  50.29  50.79  51.06  51.34  51.85  751.0    1.0
numax[8]         53.35  8.0e-3   0.23   52.9  53.19  53.35  53.51   53.8  832.0    1.0
numax[9]         47.22    0.01    0.3  46.63  47.01  47.22  47.43  47.81  767.0    1.0
numax[10]        67.81    0.02   0.43  66.96  67.51  67.81   68.1  68.66  655.0    1.0
numax[11]         67.2    0.02    0.5  66.21  66.86  67.19  67.54  68.19  755.0   1.01
numax[12]        56.26    0.01   0.23   55.8  56.11  56.27  56.42  56.71  441.0   1.01
numax[13]        57.43    0.01   0.33  56.78  57.21  57.43  57.65  58.05  476.0    1.0
numax[14]        47.49    0.01   0.27  46.95  47.31  47.49  47.68  48.02  624.0   1.01
numax[15]       103.33    0.01   0.34 102.66  103.1 103.33 103.56 103.99  754.0   1.01
numax[16]        69.77    0.02   0.42  68.97  69.48  69.77  70.04  70.62  672.0    1.0
