Inference for Stan model: anon_model_122fa4c7d85ec26172d820d9fa2c8950.
4 chains, each with iter=12000; warmup=6000; thin=1; 
post-warmup draws per chain=6000, total post-warmup draws=24000.

              mean se_mean     sd   2.5%    25%    50%    75%  97.5%  n_eff   Rhat
numax[15]   52.971   0.086  1.597 49.617  52.01  53.02 53.983 56.199  348.0   1.02
numax[16]   51.714   0.344   2.24 47.487 50.136 51.681 53.203 55.942   42.0  1.123
numax[17]    44.69   2.538  6.633 30.297 41.275 44.504 47.922 58.005    7.0  1.261
numax[18]   48.413   0.031  0.403 47.655 48.137 48.404 48.685 49.234  171.0  1.006
numax[19]   45.901   0.129  1.896 42.264  44.74 45.676 47.044 50.007  216.0  1.029
numax[20]   45.957   0.021  0.339 45.298 45.726 45.948 46.188 46.626  267.0  1.027
numax[21]   45.753   1.355  2.538 41.532 43.631 45.991 47.614 50.325    4.0  1.553
numax[22]   46.754   0.422  1.987 42.644 45.519 46.715 48.118 50.371   22.0  1.159
numax[23]   44.779   0.675   1.52 41.767 43.698 44.915 45.878 47.619    5.0  1.351
numax[24]   45.571   0.026  0.301 45.001 45.356 45.564  45.78 46.157  137.0  1.013
numax[25]   45.013   0.055  0.484 44.095 44.675 45.017 45.339 45.995   78.0  1.055
numax[26]   44.528   0.882  2.024 41.341  42.81 44.511 45.987 48.526    5.0  1.326
numax[27]   44.549   0.498  1.957 40.471 43.342 44.585 45.903 48.022   15.0  1.172
numax[28]   45.181 1.12e-4   0.01 45.162 45.174 45.181 45.187   45.2   7544  1.001
numax[29]   45.113   0.113  1.487 41.892 44.194 45.319 46.055 47.861  172.0   1.04
numax[30]   42.975   0.622  1.651 40.419 41.804 42.646 44.002 46.677    7.0  1.232
numax[31]   44.426   0.005   0.09 44.248 44.366 44.426 44.487 44.603  326.0  1.019
numax[32]   42.501   0.045  0.384 41.786 42.234 42.484 42.745 43.289   74.0  1.065
numax[33]   43.157   0.005  0.086 42.989 43.099 43.155 43.216 43.326  313.0  1.027
numax[34]   41.424   0.025  0.339 40.737 41.206 41.427 41.669 42.037  182.0  1.012
numax[35]   40.738   0.018  0.222 40.286 40.591 40.739 40.886 41.166  148.0  1.046
numax[36]   38.968   0.574  1.869 35.818 37.553 38.757 40.304 42.842   11.0  1.167
numax[37]   39.925   0.024  0.333 39.306  39.69 39.926 40.147 40.595  196.0  1.032
numax[38]   42.425   4.177  5.925 36.242 37.419 41.445 47.957 51.938    2.0 13.116
numax[39]    37.83   3.488  5.032 29.027 33.569 38.495  42.74 45.045    2.0  5.163
numax[40]   37.351   0.208  1.215 35.047 36.532 37.303 38.136 39.947   34.0  1.156
numax[41]   34.444    0.12  1.624  31.29 33.382 34.394 35.477 37.808  182.0  1.012
numax[42]   32.606   0.023  0.282 32.096 32.407 32.595 32.798 33.198  149.0  1.014
numax[43]   31.471   1.093  1.709 28.451 29.431 31.957 32.717 33.999    2.0  2.338
numax[44]   28.343   0.001  0.026 28.292 28.325 28.343  28.36 28.395  637.0  1.009
numax[45]     26.6   0.185    1.2 24.103 25.815 26.639 27.493 28.713   42.0  1.091
numax[46]   25.642   0.005  0.128 25.387 25.559  25.64 25.727 25.898  678.0  1.003
numax[47]   18.562   0.594  1.099 15.717 18.278 18.772   19.1 20.432    3.0  1.585
numax[48]   14.083   0.319  1.023 11.437 13.557 14.269 14.727 15.834   10.0  1.174
numax[49]    7.494   0.215  0.413  6.718  7.183  7.467   7.91   8.12    4.0  1.495
numax[50]    6.139   0.351  1.252   3.22  5.722   6.16  6.772  8.601   13.0  1.415
G[1]         3.636   0.032  0.312  3.068  3.421  3.609  3.821  4.322   92.0  1.032
G[2]         3.493   0.095   0.49  2.547   3.13  3.503  3.842  4.396   26.0  1.095
G[3]           2.4   0.034  0.234  1.822  2.259  2.391  2.546  2.853   48.0  1.105
G[4]         3.137    0.04  0.343  2.602  2.905  3.096  3.318  3.955   74.0   1.06
G[5]         3.259   0.053  0.343  2.778  3.034  3.195  3.395  4.188   41.0   1.07
G[6]         4.071   0.039  0.395  3.382  3.785  4.045  4.333  4.883  101.0  1.044
G[7]         2.786   0.082  0.413  1.594  2.654  2.837   3.01  3.444   26.0   1.14
G[8]         2.945   0.046  0.212  2.545  2.796  2.941  3.097  3.338   21.0  1.093
G[9]         3.655   0.061  0.282  3.157   3.44  3.645  3.856  4.226   21.0  1.117
G[10]        3.128   0.249  0.828  1.812  2.415  2.668   3.84  4.599   11.0  1.309
G[11]        4.244   0.032  0.402  3.533  3.964  4.226  4.492  5.111  161.0   1.02
G[12]        2.996   0.015  0.125  2.746  2.917  2.995  3.073  3.251   71.0  1.058
G[13]        3.431   0.295  0.717   2.13  2.896  3.453  3.955   4.74    6.0  1.261
G[14]        2.567   0.062  0.462  1.652  2.306  2.509  2.795  3.653   56.0  1.082
G[15]        2.558   0.089  0.356  1.594  2.388   2.61  2.777   3.14   16.0  1.308
G[16]        2.786   0.019  0.192  2.462  2.653  2.766  2.904  3.193   97.0  1.026
G[17]         2.49   0.015  0.181  2.177  2.379  2.481  2.597  2.854  150.0  1.029
G[18]        3.546   0.032  0.288  3.074  3.345  3.501  3.716  4.195   81.0   1.07
G[19]        2.885   0.033  0.305  2.439  2.675  2.831  3.033  3.689   84.0  1.057
G[20]        3.156    0.04  0.373  2.562  2.872  3.121    3.4  3.941   88.0  1.054
G[21]        3.261   0.029  0.509  2.237  2.968  3.235  3.551  4.335  313.0  1.009
G[22]        3.124    0.02  0.287  2.664  2.925  3.089  3.286  3.774  207.0  1.011
G[23]        2.905   0.119  0.544  1.718  2.573  2.849  3.171  4.149   21.0  1.229
G[24]        2.852   0.564  0.819  1.379  2.107  3.204  3.386  3.756    2.0  4.349
G[25]        3.604   0.025  0.416  2.842  3.319  3.575  3.867  4.509  282.0  1.024
G[26]        2.894   0.095  0.238  2.562  2.726   2.84  3.018  3.479    6.0  1.261
G[27]        3.562   0.401  0.728  2.419  2.725  3.745  4.112  4.777    3.0  1.611
G[28]        3.352   0.026  0.489  2.405  3.053  3.306   3.64  4.374  359.0  1.014
G[29]        2.989   0.655   0.97  1.307  1.996  3.302  3.677   4.28    2.0  3.335
G[30]        3.037   0.026  0.378  2.387  2.803  3.011  3.241  3.865  216.0  1.006
G[31]        2.759   0.666  1.195  1.803  2.074  2.267  2.547  5.856    3.0  3.314
G[32]        2.852   0.194   0.81  1.717  2.313  2.506  3.487  4.631   17.0  1.109
G[33]        2.309   0.543  0.791  1.403  1.544  2.071  3.028  3.599    2.0  4.185
G[34]        3.592   0.033  0.342   3.04  3.365  3.553  3.765  4.398  105.0  1.044
G[35]        3.351    0.04  0.266  2.925  3.165  3.317  3.503   3.97   43.0  1.078
G[36]        2.551   0.006  0.124  2.315   2.47  2.546  2.628   2.81  365.0  1.005
G[37]        3.289    0.47  0.862  1.959  2.278    3.5  3.937  4.722    3.0  1.582
G[38]        6.208   1.925  2.725  2.015  3.755  6.517  8.242   9.84    2.0 19.663
G[39]        2.608   0.449  0.656  1.442  1.966  2.865  3.048   3.39    2.0  3.917
G[40]        3.748   0.018  0.407   2.97   3.49  3.754  3.987  4.598  500.0   1.01
G[41]        2.813   0.028  0.307  2.285  2.608  2.794  2.991  3.459  120.0   1.02
G[42]         3.46   0.087  0.452  2.635  3.137   3.45  3.777  4.333   27.0  1.096
G[43]        2.388   0.165  0.611  1.661  1.958  2.192  2.666  3.976   14.0   1.12
G[44]        2.945   0.552  0.824   2.12  2.456  2.569  3.187  4.723    2.0  3.973
G[45]        2.441   0.011  0.193  2.007  2.336  2.444  2.555  2.805  304.0  1.018
G[46]        3.421   0.629  1.033   1.84   2.03  3.784  4.201  4.899    3.0  2.039
G[47]        2.675   0.257  0.487  1.945  2.155  2.755  2.992  3.599    4.0  1.512
G[48]        2.496   0.413  0.723  1.427  1.724  2.561  3.026  3.851    3.0  1.677
G[49]         2.89   0.343  0.773  1.853  2.113  2.882  3.486   4.41    5.0  1.316
G[50]        2.447   0.529  0.948  1.131  1.261  2.492  3.187   4.19    3.0  1.642
phi[1]       2.128   0.179  0.844   0.37   1.59  2.129   2.79  3.503   22.0  1.159
phi[2]       2.553   1.223  2.155 -1.002  0.969  2.052  4.579  6.163    3.0  1.784
phi[3]       2.023   0.419  1.169 -0.905  2.092  2.297  2.517  3.959    8.0   2.28
phi[4]       0.708   1.376  2.151 -4.024 -0.928  1.536  2.339  5.392    2.0  2.564
phi[5]      -0.414   2.023  3.091 -6.164 -2.132  0.358  1.669  4.315    2.0    2.7
phi[6]       1.546   0.107  0.924  -0.08  0.911  1.426  2.105  3.607   75.0  1.054
phi[7]       2.098   1.128  2.413 -4.435  1.641  2.006    2.6  5.821    5.0  1.549
phi[8]         1.7   0.124  1.103 -0.303  1.018  1.531  2.344  4.183   79.0  1.065
phi[9]       2.528   2.137  3.102 -3.256  0.845  2.408  5.652   6.25    2.0   4.49
phi[10]      2.279   0.879  2.414 -5.425  0.855  2.412   3.49  6.195    8.0  1.366
phi[11]      0.743   0.094  0.642 -0.654  0.341  0.797  1.185  1.842   47.0   1.09
phi[12]      1.192   0.025  0.184  0.875  1.056  1.185  1.307  1.576   56.0  1.107
phi[13]     -1.487   1.835  3.538 -6.088 -4.787  -2.53   1.92  4.433    4.0  1.607
phi[14]      1.026   0.949  3.283 -5.223 -1.508  2.128  3.413  5.636   12.0  1.239
phi[15]     -2.908   1.459  2.451 -5.573 -4.361 -3.817 -2.886  3.013    3.0  2.474
phi[16]      0.396   0.168  1.022 -1.538 -0.319  0.369  1.039  2.409   37.0   1.13
phi[17]     -0.023   0.557  3.102 -5.618 -2.341 -0.565  2.431  5.818   31.0  1.102
phi[18]      0.563   0.014  0.239  0.098  0.402  0.564  0.721  1.028  281.0  1.003
phi[19]      0.383   0.059  0.911  -1.39 -0.153  0.293  0.914  2.363  239.0  1.024
phi[20]      0.214   0.024  0.358 -0.481 -0.031  0.222  0.443  0.915  219.0   1.01
phi[21]     -0.454   0.337  3.103  -6.03 -1.505 -0.634  1.204  6.018   85.0  1.046
phi[22]      0.648   0.153  0.874 -1.157   0.11  0.649  1.207  2.275   33.0  1.135
phi[23]       1.56   1.896  3.133 -5.643   0.63  1.274  3.444  6.228    3.0  3.596
phi[24]      0.095   0.259  0.444 -0.534 -0.218 -0.013  0.332  1.185    3.0  1.881
phi[25]      0.056   0.023  0.327 -0.551 -0.166  0.042   0.27  0.723  205.0  1.039
phi[26]      0.388   0.417  0.966 -1.051 -0.385  0.368  1.083  2.331    5.0  1.315
phi[27]      2.272    1.53  2.265 -1.336  0.473  1.876  4.291  6.129    2.0  3.536
phi[28]      0.438   0.598  3.595  -6.16 -0.674   0.08   0.97   6.22   36.0  1.142
phi[29]     -0.121   0.348  1.061 -1.876 -0.758 -0.152  0.198  2.637    9.0  1.193
phi[30]      1.191   1.842   2.68  -1.44 -0.759  0.004  3.204  6.202    2.0  4.252
phi[31]      2.306   1.243  1.789 -0.112  0.594  2.033  4.125  4.693    2.0  5.198
phi[32]     -0.384   0.797  3.567  -6.13 -4.649  0.754  1.409  6.078   20.0   1.17
phi[33]     -0.006   0.391  0.581 -0.875 -0.559  0.021  0.544  0.855    2.0  3.235
phi[34]      0.343   0.011  0.236 -0.125  0.192   0.35  0.483   0.84  471.0  1.002
phi[35]      0.313   0.091   0.24 -0.113  0.125  0.333  0.485  0.758    7.0  1.304
phi[36]      0.947   0.358  1.141 -1.003  0.077  0.821  1.767   3.28   10.0  1.174
phi[37]      -0.32    1.18  2.316 -6.109 -0.318  0.264    1.2  2.691    4.0  2.512
phi[38]      -4.99   1.294  1.848 -6.282 -6.267 -6.213 -2.584 -1.758    2.0  7.237
phi[39]     -2.332   3.373  4.809  -6.23  -5.42 -4.805  1.987   6.24    2.0  8.149
phi[40]     -4.068   1.866  2.683  -6.24 -5.881 -5.439 -1.944  1.095    2.0  6.126
phi[41]      0.006   0.071   0.95 -1.851 -0.617  -0.03  0.598   1.98  177.0  1.014
phi[42]     -2.941   2.134  3.028 -6.232  -5.97 -3.043  0.078  0.574    2.0 12.779
phi[43]      1.657    1.89  3.956 -5.515 -2.473  2.562  6.194  6.258    4.0  1.437
phi[44]     -2.901   1.382  1.964 -5.696 -4.909 -2.763 -0.993 -0.675    2.0 10.193
phi[45]      0.019   0.137  1.036 -2.113 -0.647   0.02  0.769  1.879   57.0  1.079
phi[46]     -4.089   1.257    2.4 -6.237  -5.96 -5.604 -2.786  1.144    4.0   2.15
phi[47]     -1.363   2.849  4.283  -6.23 -5.541 -3.026  2.136  5.943    2.0  3.512
phi[48]     -2.993   1.469  2.452 -6.156 -5.018 -3.404 -1.675  2.632    3.0  1.982
phi[49]     -3.212   1.968  2.874 -5.878 -5.297 -4.469 -2.197  2.551    2.0  4.014
phi[50]      -1.32   1.395  3.502 -5.965 -4.477 -2.208   1.43  5.661    6.0  1.458
eps_std[1]  -0.097   0.072  0.221 -0.553 -0.257  -0.08  0.097  0.276    9.0  1.229
eps_std[2]  -0.037    0.17   0.37 -0.811 -0.276  0.063  0.116  0.715    5.0  1.377
eps_std[3]  -0.134   0.091  0.211 -0.567 -0.284 -0.141  0.095  0.154    5.0  1.373
eps_std[4]  -0.199   0.118   0.23 -0.652 -0.363 -0.219  0.089  0.094    4.0  1.556
eps_std[5]  -0.213   0.172  0.337 -0.942 -0.434 -0.192  0.107  0.296    4.0  1.486
eps_std[6]  -0.188   0.114  0.281 -0.779 -0.377 -0.173  0.094  0.173    6.0  1.289
eps_std[7]  -0.147   0.095  0.199 -0.548 -0.289 -0.159   0.09  0.097    4.0  1.475
eps_std[8]  -0.171   0.109  0.239 -0.677  -0.33 -0.167  0.092  0.114    5.0   1.38
eps_std[9]  -0.139   0.188   0.32 -0.815 -0.366 -0.091  0.073  0.421    3.0  1.881
eps_std[10] -0.365   0.192  0.306 -0.905 -0.596 -0.389  0.034  0.075    3.0  2.303
eps_std[11] -0.085   0.059  0.211  -0.56 -0.215 -0.071  0.088  0.272   13.0  1.171
eps_std[12] -0.165   0.104  0.192 -0.543 -0.301 -0.181  0.085  0.089    3.0  1.668
eps_std[13] -0.551   0.279  0.539 -1.732 -0.907 -0.516  0.039  0.065    4.0  1.496
eps_std[14] -0.198   0.117  0.214 -0.621 -0.345 -0.205  0.068  0.083    3.0  1.639
eps_std[15] -0.146   0.095  0.192 -0.542  -0.28 -0.154  0.083  0.092    4.0   1.48
eps_std[16] -0.159   0.099  0.213 -0.623 -0.305 -0.152  0.073  0.095    5.0  1.406
eps_std[17] -0.032   0.162  0.426 -0.978 -0.272  0.085  0.104  0.875    7.0  1.259
eps_std[18] -0.347   0.188  0.289 -0.843 -0.575 -0.372 -0.001  0.071    2.0  2.667
eps_std[19]  -0.25   0.144  0.263 -0.791 -0.427 -0.255  0.073  0.084    3.0  1.649
eps_std[20] -0.361   0.195    0.3 -0.871 -0.597 -0.391 -0.006  0.073    2.0  2.666
eps_std[21] -0.393   0.219  0.361 -1.095 -0.651 -0.402  0.074  0.089    3.0  2.013
eps_std[22] -0.366   0.197  0.317 -0.965 -0.606 -0.373  0.049   0.07    3.0  2.136
eps_std[23] -0.171   0.119  0.215 -0.638 -0.312 -0.171  0.073  0.083    3.0  1.683
eps_std[24]  -0.36   0.195  0.298  -0.86 -0.597 -0.391 -0.001  0.071    2.0  2.762
eps_std[25] -0.269   0.153  0.244 -0.697 -0.454 -0.288  0.071   0.08    3.0  2.277
eps_std[26] -0.324   0.184  0.298 -0.889 -0.541 -0.331  0.074  0.086    3.0  2.085
eps_std[27] -0.228    0.13  0.225 -0.652 -0.392 -0.245  0.065  0.079    3.0  1.814
eps_std[28] -0.337   0.184  0.285 -0.829 -0.559 -0.364  0.017  0.076    2.0  2.607
eps_std[29] -0.292   0.161   0.26  -0.76 -0.489 -0.305  0.066  0.074    3.0  2.167
eps_std[30] -0.331   0.183  0.287 -0.832 -0.553 -0.355  0.046   0.08    2.0  2.386
eps_std[31]  1.058   0.495   0.72  0.173  0.189  0.907  1.747  2.139    2.0  4.498
eps_std[32]  -0.21   0.127   0.21 -0.599 -0.364 -0.228  0.072  0.085    3.0  2.019
eps_std[33] -0.328    0.18  0.278 -0.805 -0.543 -0.357  0.008  0.074    2.0  2.644
eps_std[34]  -0.15   0.098  0.174 -0.488 -0.273 -0.162  0.078  0.087    3.0  1.748
eps_std[35] -0.333   0.184  0.282 -0.815 -0.557  -0.36  0.005  0.073    2.0  2.638
eps_std[36] -0.214   0.128  0.237 -0.695 -0.373 -0.223  0.079  0.088    3.0  1.607
eps_std[37] -0.367   0.199  0.303 -0.881 -0.608 -0.393  0.002  0.069    2.0  2.767
eps_std[38]  6.091   4.917  6.974 -1.988  0.924   3.75 12.675 17.892    2.0 13.078
eps_std[39]  1.276   0.658  0.953  0.188  0.214  1.048  1.986  3.067    2.0  4.927
eps_std[40]   1.18   0.544  0.794  0.183  0.215  1.094  1.926  2.386    2.0   4.11
eps_std[41] -0.347   0.191  0.315 -0.961 -0.578  -0.34  0.049  0.076    3.0  2.003
eps_std[42]  1.248   0.577  0.837  0.189  0.239  1.095  2.042  2.475    2.0  4.688
eps_std[43]   1.21   0.556  0.806  0.198  0.245  1.048  1.981  2.383    2.0  4.748
eps_std[44]  1.112   0.516  0.749  0.182  0.199  0.963  1.829  2.214    2.0  4.643
eps_std[45] -0.226   0.134  0.245 -0.741 -0.391 -0.218  0.059  0.077    3.0  1.632
eps_std[46]  1.288   0.593  0.857  0.184  0.263  1.181    2.1  2.528    2.0  4.986
eps_std[47]  0.836    0.38  0.557  0.151  0.163  0.781  1.345  1.732    2.0  3.849
eps_std[48]  1.151   0.529  0.807  0.136  0.206  0.975   1.91  2.504    2.0  2.724
eps_std[49]  0.977   0.422   0.66  0.162   0.19  0.881  1.542  2.213    2.0  2.352
eps_std[50]  0.924    0.34  0.675  0.125   0.26  0.806  1.442  2.306    4.0  1.484
eps_sig      2.436   2.253   3.19  0.322  0.384  0.694  4.612  8.308    2.0 24.079
epsA        -0.127   0.183  0.264 -0.632 -0.422  0.008  0.062  0.097    2.0  5.194
epsB         0.112    0.05  0.083  0.002  0.037  0.108  0.163  0.301    3.0  1.918
al_std[1]   -0.027   0.048  0.122 -0.381 -0.047  0.003  0.031  0.125    6.0  1.294
al_std[2]    0.151   0.071  0.233 -0.131  0.027  0.081  0.196  0.838   11.0  1.179
al_std[3]   -0.054    0.07  0.148 -0.479 -0.074 -0.006  0.021  0.114    4.0  1.419
al_std[4]    0.045   0.009  0.105 -0.181  0.011  0.028   0.09  0.294  136.0  1.055
al_std[5]    0.074    0.02  0.108 -0.112   0.02  0.049  0.115  0.365   29.0  1.117
al_std[6]    0.124   0.058   0.16 -0.076  0.029  0.082  0.168  0.584    8.0  1.235
al_std[7]   -0.114   0.117   0.19 -0.616 -0.146 -0.024  0.003  0.062    3.0  2.167
al_std[8]     0.03   0.011  0.097 -0.214  0.007  0.026  0.077  0.219   82.0  1.083
al_std[9]    0.014   0.016  0.131 -0.346 -0.008  0.021   0.07  0.252   64.0  1.085
al_std[10]   0.044   0.009  0.108 -0.207  0.007  0.028  0.093  0.289  136.0  1.056
al_std[11]   0.168   0.091  0.179 -0.009  0.041  0.116  0.218  0.674    4.0  1.492
al_std[12]   -0.08   0.095   0.16 -0.514 -0.112 -0.007   0.01  0.089    3.0  1.957
