Inference for Stan model: anon_model_893ae0f30707a4f59ccad73c820dc14f.
4 chains, each with iter=90000; warmup=45000; thin=1; 
post-warmup draws per chain=45000, total post-warmup draws=180000.

              mean se_mean     sd   2.5%    25%    50%    75%  97.5%  n_eff   Rhat
dnu[58]       5.78  2.3e-4 9.3e-3   5.76   5.77   5.78   5.78   5.79 1670.0    1.0
dnu[59]       6.05  1.4e-4 7.7e-3   6.03   6.04   6.05   6.05   6.06 2881.0    1.0
dnu[60]       5.42  1.5e-4 8.2e-3    5.4   5.41   5.42   5.42   5.43 3137.0    1.0
dnu[61]       4.65  1.3e-4 7.3e-3   4.63   4.64   4.65   4.65   4.66 3127.0    1.0
dnu[62]       5.43  4.0e-4   0.02    5.4   5.42   5.43   5.45   5.47 1728.0    1.0
dnu[63]       6.01  1.7e-4 7.2e-3    6.0    6.0   6.01   6.01   6.02 1871.0    1.0
dnu[64]       4.62  1.6e-4 8.5e-3   4.61   4.62   4.62   4.63   4.64 2920.0    1.0
dnu[65]        8.3  1.1e-4 6.5e-3   8.29    8.3    8.3    8.3   8.31 3606.0    1.0
dnu[66]       5.28  2.7e-4   0.01   5.26   5.27   5.28   5.29    5.3 1426.0    1.0
dnu[67]       4.74  1.4e-4 7.2e-3   4.73   4.74   4.74   4.75   4.76 2780.0    1.0
dnu[68]       5.66  2.3e-4 8.5e-3   5.64   5.65   5.66   5.66   5.67 1397.0    1.0
dnu[69]        5.2  1.2e-4 6.5e-3   5.19    5.2    5.2    5.2   5.21 2940.0    1.0
dnu[70]       6.35  1.7e-4 7.8e-3   6.34   6.35   6.35   6.36   6.37 2202.0    1.0
dnu[71]        4.9  1.5e-4 7.8e-3   4.89    4.9    4.9   4.91   4.92 2601.0    1.0
dnu[72]       5.97  1.3e-4 6.3e-3   5.96   5.97   5.97   5.98   5.98 2314.0    1.0
dnu[73]       4.77  1.4e-4 7.8e-3   4.76   4.77   4.77   4.78   4.79 2973.0    1.0
dnu[74]       4.76  1.4e-4 8.3e-3   4.74   4.75   4.76   4.76   4.77 3635.0    1.0
dnu[75]       6.35  1.6e-4 7.6e-3   6.34   6.35   6.35   6.36   6.37 2363.0    1.0
dnu[76]       4.74  1.2e-4 6.8e-3   4.72   4.73   4.74   4.74   4.75 3230.0    1.0
dnu[77]       3.91  5.9e-4   0.02   3.86   3.89   3.91   3.92   3.95 1576.0    1.0
dnu[78]       5.52  2.5e-4   0.01    5.5   5.51   5.52   5.53   5.55 2317.0    1.0
dnu[79]       5.11  1.9e-4 9.2e-3   5.09    5.1   5.11   5.12   5.13 2441.0    1.0
dnu[80]       6.49  1.4e-4 7.5e-3   6.48   6.49   6.49    6.5   6.51 2953.0    1.0
numax[1]    101.94  9.6e-3   0.56 100.85 101.56 101.93 102.31 103.03 3393.0    1.0
numax[2]     47.83  6.3e-3   0.34  47.17   47.6  47.83  48.06  48.48 2807.0    1.0
numax[3]     57.27  4.1e-3   0.25  56.77   57.1  57.27  57.44  57.75 3627.0    1.0
numax[4]     61.91    0.02   0.74  60.45   61.4  61.91  62.41  63.35 2178.0    1.0
numax[5]     52.51  3.3e-3    0.2  52.12  52.38  52.51  52.65  52.91 3719.0    1.0
numax[6]     49.28  2.5e-3   0.16  48.97  49.17  49.28  49.38  49.58 3880.0    1.0
numax[7]     51.08  6.6e-3   0.39  50.31  50.82  51.08  51.34  51.85 3512.0    1.0
numax[8]     53.35  3.8e-3   0.24  52.87  53.19  53.35  53.51  53.83 4091.0    1.0
numax[9]     47.21  4.9e-3   0.31   46.6   47.0  47.21  47.41  47.82 3990.0    1.0
numax[10]    67.81    0.01   0.43  66.98  67.53  67.81   68.1  68.64 1441.0   1.01
numax[11]    67.19  7.6e-3    0.5  66.22  66.85  67.19  67.53  68.19 4411.0    1.0
numax[12]    56.27  4.2e-3   0.24  55.81  56.11  56.27  56.43  56.73 3216.0    1.0
numax[13]    57.41  6.7e-3   0.32  56.79  57.19  57.41  57.63  58.05 2292.0    1.0
numax[14]    47.49  5.0e-3   0.28  46.94   47.3  47.49  47.68  48.03 3092.0    1.0
numax[15]   103.36  5.5e-3   0.34 102.68 103.13 103.36 103.59 104.03 3872.0    1.0
numax[16]    69.76  6.3e-3    0.4  68.97  69.49  69.76  70.03  70.54 4107.0    1.0
numax[17]    54.14  6.5e-3   0.41  53.34  53.87  54.14  54.42  54.94 3985.0    1.0
numax[18]    98.48    0.01   0.68  97.15  98.02  98.48  98.94  99.82 3124.0    1.0
numax[19]     70.8  6.7e-3   0.35  70.11  70.56   70.8  71.04   71.5 2792.0    1.0
numax[20]    64.86  7.4e-3   0.41  64.06  64.59  64.86  65.13  65.66 3039.0    1.0
numax[21]    49.07  6.9e-3   0.35  48.39  48.83  49.07   49.3  49.75 2564.0    1.0
numax[22]     53.5  4.9e-3    0.3  52.91  53.29   53.5   53.7  54.08 3738.0    1.0
numax[23]    53.78  3.9e-3   0.25  53.29  53.61  53.78  53.95  54.27 4101.0    1.0
numax[24]    62.26  4.0e-3   0.24  61.79   62.1  62.26  62.42  62.73 3553.0    1.0
numax[25]    50.87  4.8e-3   0.28  50.32  50.68  50.87  51.06  51.42 3355.0    1.0
numax[26]    78.69  7.5e-3   0.44  77.83  78.39  78.69  78.99  79.55 3447.0    1.0
