Inference for Stan model: anon_model_893ae0f30707a4f59ccad73c820dc14f.
4 chains, each with iter=36000; warmup=18000; thin=1; 
post-warmup draws per chain=18000, total post-warmup draws=72000.

               mean se_mean     sd   2.5%    25%    50%    75%  97.5%  n_eff   Rhat
dnu[59]        8.36  7.1e-5 7.3e-3   8.34   8.35   8.36   8.36   8.37  10709    1.0
dnu[60]        5.77  6.6e-5 6.4e-3   5.75   5.76   5.77   5.77   5.78 9358.0    1.0
dnu[61]        5.68  6.8e-5 7.0e-3   5.67   5.68   5.68   5.69    5.7  10763    1.0
dnu[62]         4.5  8.0e-5 7.9e-3   4.49    4.5    4.5   4.51   4.52 9592.0    1.0
dnu[63]         4.8  6.5e-5 6.7e-3   4.78   4.79    4.8    4.8   4.81  10807    1.0
dnu[64]        8.44  5.2e-5 5.7e-3   8.43   8.43   8.44   8.44   8.45  11885    1.0
dnu[65]        7.82  1.2e-4   0.01    7.8   7.81   7.82   7.83   7.85  11584    1.0
dnu[66]        8.44  5.0e-5 5.6e-3   8.43   8.43   8.44   8.44   8.45  12490    1.0
dnu[67]        4.75  6.9e-5 7.5e-3   4.74   4.75   4.75   4.76   4.77  12030    1.0
dnu[68]        9.21  6.9e-5 7.5e-3    9.2   9.21   9.21   9.22   9.23  11974    1.0
dnu[69]        6.35  7.6e-5 7.3e-3   6.34   6.35   6.35   6.36   6.37 9168.0    1.0
dnu[70]         4.6  7.1e-5 7.1e-3   4.59    4.6    4.6   4.61   4.61 9925.0    1.0
dnu[71]        7.02  7.9e-5 7.7e-3   7.01   7.02   7.02   7.03   7.04 9278.0    1.0
dnu[72]         8.3  5.6e-5 6.3e-3   8.29    8.3    8.3    8.3   8.31  12837    1.0
dnu[73]        5.32  8.8e-5 8.8e-3    5.3   5.31   5.32   5.32   5.33 9980.0    1.0
dnu[74]        4.67  6.9e-5 6.5e-3   4.65   4.66   4.67   4.67   4.68 8909.0    1.0
dnu[75]        5.57  6.8e-5 6.4e-3   5.56   5.57   5.57   5.58   5.59 8954.0    1.0
dnu[76]         4.8  6.6e-5 6.8e-3   4.78   4.79    4.8    4.8   4.81  10671    1.0
dnu[77]        5.96  8.7e-5 8.9e-3   5.94   5.96   5.96   5.97   5.98  10514    1.0
dnu[78]        4.71  9.8e-5   0.01   4.69    4.7   4.71   4.72   4.73  12130    1.0
dnu[79]        5.78  7.7e-5 7.4e-3   5.76   5.77   5.78   5.78   5.79 9195.0    1.0
dnu[80]        5.32  8.4e-5 8.8e-3    5.3   5.31   5.32   5.32   5.33  10908    1.0
dnu[81]        7.69  8.4e-5 8.7e-3   7.68   7.69   7.69    7.7   7.71  10841    1.0
dnu[82]        8.64  4.6e-5 5.3e-3   8.63   8.64   8.64   8.65   8.65  13042    1.0
dnu[83]        5.79  7.5e-5 7.4e-3   5.78   5.79   5.79    5.8   5.81 9790.0    1.0
dnu[84]        4.72  7.4e-5 7.6e-3   4.71   4.72   4.72   4.73   4.74  10517    1.0
dnu[85]        7.74  8.9e-5 6.9e-3   7.72   7.73   7.74   7.74   7.75 6048.0    1.0
dnu[86]        4.58  1.4e-3 6.9e-3   4.57   4.58   4.58   4.59    4.6   24.0   1.06
dnu[87]        4.73  5.6e-5 6.1e-3   4.72   4.72   4.73   4.73   4.74  11976    1.0
dnu[88]        5.65  5.7e-5 5.8e-3   5.64   5.65   5.65   5.65   5.66  10486    1.0
dnu[89]        9.21  7.1e-5 7.6e-3    9.2   9.21   9.21   9.22   9.23  11352    1.0
dnu[90]         5.3  7.1e-5 7.1e-3   5.29    5.3    5.3   5.31   5.32 9959.0    1.0
dnu[91]        4.99  6.2e-5 6.1e-3   4.98   4.99   4.99   4.99    5.0 9546.0    1.0
dnu[92]        5.43  6.7e-5 7.2e-3   5.42   5.43   5.43   5.44   5.45  11370    1.0
dnu[93]        7.38  5.2e-5 5.5e-3   7.37   7.38   7.38   7.39   7.39  11065    1.0
dnu[94]        5.35  5.3e-5 5.4e-3   5.33   5.34   5.35   5.35   5.36  10550    1.0
dnu[95]        4.57  8.8e-5 8.7e-3   4.55   4.56   4.57   4.57   4.58 9838.0    1.0
dnu[96]        5.76  6.8e-5 6.1e-3   5.75   5.75   5.76   5.76   5.77 8294.0    1.0
dnu[97]        5.84  9.7e-5 8.0e-3   5.82   5.83   5.84   5.84   5.85 6744.0    1.0
dnu[98]        5.05  5.9e-5 6.0e-3   5.04   5.04   5.05   5.05   5.06  10381    1.0
dnu[99]        9.21  6.9e-5 7.5e-3    9.2   9.21   9.21   9.22   9.23  11960    1.0
dnu[100]       5.35  5.6e-5 5.9e-3   5.34   5.35   5.35   5.36   5.36  11068    1.0
dnu[101]       6.03  6.3e-5 6.6e-3   6.01   6.02   6.03   6.03   6.04  10704    1.0
dnu[102]       5.96  7.6e-5 7.3e-3   5.95   5.96   5.96   5.97   5.98 9334.0    1.0
dnu[103]       6.73  8.6e-5 8.7e-3   6.71   6.73   6.73   6.74   6.75  10389    1.0
dnu[104]       6.29  7.1e-5 6.8e-3   6.28   6.29   6.29    6.3   6.31 8988.0    1.0
dnu[105]       5.61  6.8e-5 6.8e-3    5.6   5.61   5.61   5.62   5.63  10174    1.0
dnu[106]       4.54  5.2e-5 5.7e-3   4.53   4.54   4.54   4.54   4.55  12002    1.0
dnu[107]       4.86  1.2e-4   0.01   4.84   4.86   4.86   4.87   4.88 9314.0    1.0
dnu[108]       6.56  5.5e-5 5.8e-3   6.54   6.55   6.56   6.56   6.57  11209    1.0
dnu[109]       6.17  1.3e-4   0.01   6.14   6.16   6.17   6.18   6.19 8309.0    1.0
dnu[110]       4.85  6.7e-5 6.9e-3   4.84   4.84   4.85   4.85   4.86  10589    1.0
dnu[111]        4.8  7.5e-5 8.3e-3   4.78   4.79    4.8    4.8   4.82  12310    1.0
dnu[112]       6.15  5.9e-5 5.6e-3   6.14   6.15   6.15   6.15   6.16 9192.0    1.0
dnu[113]       5.61  1.6e-4 6.9e-3   5.59    5.6   5.61   5.61   5.62 1875.0    1.0
dnu[114]       6.14  5.7e-5 5.5e-3   6.13   6.14   6.14   6.15   6.15 9124.0    1.0
dnu[115]       4.75  6.2e-5 6.1e-3   4.74   4.75   4.75   4.76   4.77 9567.0    1.0
dnu[116]       8.25  7.4e-5 8.2e-3   8.24   8.25   8.25   8.26   8.27  12269    1.0
dnu[117]        4.8  6.4e-5 6.7e-3   4.78   4.79    4.8    4.8   4.81  10945    1.0
dnu[118]       4.87  6.0e-5 6.2e-3   4.85   4.86   4.87   4.87   4.88  10634    1.0
dnu[119]       8.63  7.7e-5 7.9e-3   8.62   8.63   8.63   8.64   8.65  10593    1.0
