KIC,ns,dnu,numax,G,phi,tau,epsilon,alpha,A,IMass,Metallicity
11135910,"[6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0]",3.646754692069738,29.508530039464695,1.9078677923516711,1.365866700010368,16.625560028765715,0.048005175284035285,0.03316967221196738,-0.02051018222257001,1.1,-0.58
9333501,"[6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0]",3.442147851772186,26.668911002977083,2.475000953895394,1.6766018491847776,19.219350710260265,0.0701707749489289,0.028684078552917793,0.060727276185649666,1.08,-0.63
9143834,"[4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0]",2.3925997019957728,15.644480629775991,6.584843092941644,0.8903560458899241,18.123029214861262,0.25436865768106187,0.16550195415882807,0.05475996964846929,1.09,-0.59
10678016,"[5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0]",3.874754382618527,29.56690510808795,7.816375583947744,-4.126637306396465,22.988779724724875,0.30625756807220417,0.12941690373274364,0.2402384494929175,1.04,-0.59
9414068,"[4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0]",1.7100084231818713,10.500111612884494,4.722281939889321,-3.093433702670633,18.33514240136848,0.2232174908028271,0.20493436252672878,0.0501577772244918,1.01,-0.65
6431941,"[5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0]",2.7695158547262078,20.592118524822368,1.8488767091669638,0.9238225530369691,19.012478306727708,0.027810356791972822,0.022382154249938564,0.016793794903359704,1.05,-0.53
5860093,"[6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0]",5.542667710942358,50.03783561584843,2.153635734925519,2.296595915215137,16.49182310051003,0.11176877767822414,0.015235281661943267,0.03526031654410591,1.06,-0.54
10849541,"[5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0]",2.9710683540210607,22.397663013705124,3.081105754992145,0.4665903430718586,24.319930717674193,0.2827497569076722,0.19266256105478943,0.5759455363679288,1.15,-0.27
11074543,"[7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0]",6.010419544782834,57.71002523518981,1.977875855383779,1.5478731338574765,16.814834880935305,0.10824185873638091,0.017024242143178846,0.029086605669387172,1.1,-0.24
11598116,"[4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0]",2.700389906477867,20.80535671711134,2.0039638212220043,0.3840331489286887,18.389327370054726,0.27763896652028663,0.05048709515375693,0.03713466636372089,1.14,-0.29
11441797,"[7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0]",5.813591818643104,57.57086354236351,2.24688322680455,2.306167235038342,17.158219026891707,0.10573023525974716,0.012902262230363582,0.10380052315724761,1.21,-0.23
11250152,"[6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0]",3.5213548673986073,29.56793380736458,3.279359591794509,1.0504631978705472,17.847585856616067,0.05753642549734878,0.021859503786211428,0.028255061585516637,1.25,-0.23
11621486,"[7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0]",3.999233616240573,36.14757740808936,1.8711444863571094,0.9275131347176486,19.193335191141966,0.06150827592569718,0.03143684079548647,0.19215537188757467,1.27,-0.37
11308784,"[7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0]",6.159402816014253,62.31365149102292,2.8660628026219523,2.746135033339771,18.327958610467963,0.12218797070091228,0.016556101358263752,0.027066890840762973,1.3,-0.26
11361765,"[8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0]",9.226721489695018,104.33496964825285,3.481141606056125,1.4867654174382532,17.671788471485733,0.15181012380009823,0.022096411442374796,-0.04324781348701598,1.25,-0.33
12120230,"[7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0]",5.276451980790897,50.50185623171403,3.3429484793240927,1.400733875246067,17.167502679686276,0.10877383149162174,0.020543174926178763,-0.012394830249024753,1.28,-0.34
9395535,"[6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0]",2.8826854500681147,22.35731932685727,2.5649376392655356,0.27692510921818336,15.337463792280394,0.053070168885748434,0.015202247051284586,0.07647909298274073,1.16,-0.31
10202184,"[9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0]",12.759220638895393,160.29202786862686,4.682500724364905,1.6402835392314827,15.419881520376233,0.20166457891893538,0.019420939754193914,0.026673712358076716,1.25,-0.32
10524715,"[7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0]",6.291066579212946,64.41219648461518,2.0780842632138197,3.1897064577183376,19.23386530394436,0.11932945596081256,0.013552040478564951,0.07459922230728488,1.29,-0.33
8284032,"[6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0]",4.257634193253553,38.57539177994116,2.1597040639777623,3.2011580051098574,19.72048857625752,0.07936130118669273,0.012949550346861119,0.11173523136175535,1.29,-0.37
9574650,"[9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0]",7.7360844330070995,96.7393586400202,4.044468823705978,5.158537732945204,1.0395133750211372,1.0472980700884176,0.0938357612881559,2.718292771726393,1.17,-0.37
10816748,"[6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0]",3.802555521278904,32.48179522467843,2.687896900992583,2.2024245544006766,18.484703557047826,0.06877096659766672,0.020397562226362066,-0.026873660963421038,1.2,-0.31
10992711,"[6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0]",4.03537000519535,35.22324363060474,2.122234748453075,2.914286634615814,17.104540177484957,0.0569761433129805,0.016258281439841406,0.1673842024813368,1.17,-0.29
8824452,"[7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0]",5.5378043380350634,51.54134556261616,2.2362419995717517,0.7881520396533886,18.2702314426657,0.11110447885694369,0.013573177708392283,0.05268086213571233,1.1,-0.36
9658793,"[6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0]",4.425501031118048,40.31175652384662,2.36233667553609,2.9141219957061866,18.368573775351646,0.07846758810200491,0.014114035088336939,0.061098390238210246,1.28,-0.25
