f0,A0,w0,f2,A2,w2,B,f0_err,A0_err,w0_err,f2_err,A2_err,w2_err,B_err
75.86210395492458,0.7442864206472133,-2.495217183022472,75.01857797334011,0.6677642717467982,-2.215783694563673,1.1914951006489198,0.009705917549189116,0.10590435284691321,0.2687927428402055,0.011758260941872718,0.09550179653133159,0.26621779435852394,0.10628197264158641
82.65481414273924,0.6548674111729623,-2.286522869691539,81.63355518625721,0.7118922073197096,-1.3064121685481238,1.2570710947093546,0.013244371826643427,0.1053786881088541,0.289114155298723,0.004224024874919991,0.06930693277822168,0.10526442595922,0.11177010090652653
69.01748949629226,0.5015208181042723,-2.224404146333902,68.10825320512315,0.19318424206445076,-2.2165994977728767,1.175100226774052,0.01248488719290126,0.09398332145128145,0.2575287465538065,0.015511847832346931,0.11423451493244337,0.38273381732591877,0.10724405037544198
62.26228015557919,0.18197785532887206,-1.8453122849970738,61.361168638184274,-0.15698037503945111,-1.471344763135785,0.9437550281328181,0.018466612751364103,0.09478381720484193,0.29965025443962084,0.03266250987082307,0.1377001003145372,0.2836873748975771,0.11503412253940073
55.923482657340976,-0.36096051057855916,-2.2648986302568046,54.93512834614994,-0.7976970743870442,-2.8377075652363146,1.1191701864226655,0.021467696727339957,0.1691591135329934,0.5868967256971503,0.027602051288774312,0.5456504615277901,0.8233613373589953,0.10716467325856407
55.92340065060998,-0.36221024316337824,-2.2904025505739103,54.93530297284827,-0.794800622321907,-2.838134934062345,1.1166424697449604,0.021891001062998672,0.1731448204994164,0.5837866713556071,0.030816968426695287,0.45166938425985276,0.8009110066149443,0.10235073838860027
89.51832627023623,0.503067521561378,-1.3989333360147163,88.62330969137169,0.4370982306009872,-1.2865260514562173,0.9218119069111383,0.024571182273821494,0.07597390151285717,0.17010145132973165,0.007942961750636081,0.08200470260453636,0.09881091159692085,0.0914269230622639
96.60562085655684,0.007660115032351797,-1.3370050102881907,95.56109475591651,-0.043403226458655686,-1.320402941040109,1.1493779499269243,0.048712569955769044,0.12218547578932754,0.16872296218682578,0.08492131396900894,0.6542587745714991,0.44595355653476587,0.10990215789585472
55.92451380030671,-0.39434172854003535,-2.384287981627669,54.93547068935948,-0.8257774195559532,-2.9390895223772207,1.1606963124626546,0.02028384009397138,0.18534611869444562,0.5979491194362023,0.026750917430489404,0.3814354552108674,0.7706315805378212,0.09789203117923154
96.6109483985259,-0.05011085314897567,-1.3452035321322018,95.51185060453471,-0.12796842583911158,-1.3433471506057075,1.2497140499318817,0.05332092926384497,0.12346455741921364,0.19477154529718915,0.06127676930467066,0.27947747122631045,0.2232157726393355,0.10096057017232439
