,ID,Numax,Numax_err,Dnu_median_all,Dnu_median_all_err,Dnu_lin_all,Dnu_lin_all_err,Dnu_median,Dnu_median_err,Dnu_lin_m,Dnu_lin_m_err,q0,q1,q2,d02,d02_err,lw,lw_err,Amax,Aw,Ah,Amax_err,Aw_err,Ah_err,Amax2,Aw2,Ah2,Amax2_err,Aw2_err,Ah2_err
0,5113441,154.12987867113515,5.404620212006859,11.667812557697673,0.015206311026897875,11.621672493495488,0.01010831488029829,11.650530243411879,0.026857969668311173,11.58617972197375,0.014976675937698181,0.04080531465876191,11.37652384904709,109.15649814248374,1.4649017310097463,0.1647470437680765,-1.9690958041966533,0.20631833235478395,138.06150110763207,33.29859200582108,2964.5184018006917,4.8409575243689815,6.053405572857616,407.90156529456215,149.00786359030127,28.345083589603604,2337.1879234855987,5.047962320727133,11.129312152102962,686.7368662622761
1,5024240,155.6827056567733,12.129681907013516,12.014827971348168,0.022256699612007574,11.995794562579372,0.025451843621878873,12.015707984535908,0.021098735185230602,11.975081407145105,0.009843735521787458,0.06069707595484565,11.68998214522965,123.05918824842612,1.463750898771039,0.09803328632780715,-2.052251304602273,0.6691182798676089,147.05017107408096,19.420660159145342,3409.036264086378,1.9101648437917162,4.121309866141312,712.7984181954807,146.82979627864,38.836685641018065,712.9440006863506,15.709226848608157,24.62794975376461,251.42020940468058
2,5111718,134.504840617943,0.3019081331880961,10.619915262729958,0.02259601282671288,10.549222665695911,0.011896789820804946,10.470175441615467,0.02855933712398342,10.457543642124282,0.011958292638649122,0.022587121855717505,10.413498320041437,97.61303768797357,1.2486549916330887,0.08779669415009125,-1.9847248949352896,0.5842291093051403,125.96456443741369,22.310462264040723,6485.520671030392,2.5632229086327327,2.8282017629487344,1110.3176883811157,129.9385984822166,22.42923753263527,5873.738692020512,3.4732243880914218,5.491574831903958,1125.8333596926548
3,5112072,126.08960509737076,0.003622419941564115,10.040491108095075,0.010618724227762038,10.022316766813212,0.010224091508626135,10.006846848784363,0.02262343618023688,10.00416667622443,0.006149247960121487,0.05675853327462966,9.680695525202873,93.10188389748659,1.3242992852923265,0.11120880571227747,-2.3106470874511515,0.41822754586518324,113.08647138522994,23.796286673742188,11615.42200197597,2.80519008288968,2.4219654621142435,2520.8211709503776,117.2204662869913,19.275349052445428,12388.149766531806,2.119014198075963,2.4765827605534847,1823.7622626212412
4,5024143,119.23834994096704,7.435403867365272,9.680710290534236,0.045807982133549204,9.685102852172244,0.026801371000635194,9.594917605300957,0.025901303508542115,9.6056749367756,0.010168324164198942,0.05355193664034649,9.312628839186065,89.3724462880244,1.200264789195323,0.1270194415922051,-1.782631753903122,0.5758032239772094,112.06436481715947,18.523630924580573,-3142.4356818793317,2.1632730961672197,2.7960451324892963,509.57910390956397,104.98911480058607,17.698558513300995,-2168.0017090705537,4.209320611484284,6.729979244304294,677.6551956516197
5,5023845,108.82524231090423,5.675544331781776,8.897335757136393,0.02240628182085285,8.896681381136457,0.01874909965183882,8.910012401869785,0.014583116545629816,8.90528369228468,0.006445915655246399,0.026165978189803804,8.740420435215832,82.31606737743621,1.0741157084965778,0.0811760747680464,-2.1930839197512433,0.9748479878588893,102.95131273415804,15.7683580118451,-25927.044060018226,2.569027298092342,9.966792131106022,15489.236064096547,102.03305280717709,24.423355579383212,11321.468436802494,4.384909834617624,5.097854716080461,1947.580024329308
6,5024405,98.42166411378314,0.24851327847260304,8.250402452021973,0.02073456124588079,8.237370503809704,0.014609951198115027,8.257333814049105,0.017208138025862765,8.258927502746696,0.012308722768239607,0.02283784646036626,8.052795081919955,67.92384784768473,1.0677517878391427,0.2359855395432695,-1.7649045305382791,0.7093451417666018,93.89463391321857,14.602433484690357,-30794.26946234825,1.4357758558802378,2.602147174738495,14941.471144994433,95.3679699544901,14.980157382234541,23916.53527822964,2.550196769263705,5.024976157748216,7582.700710441789
7,5024312,95.07019237599795,4.408446477662922,8.10933483253779,0.021987505272869565,8.07227040946735,0.018286355741016155,8.037610418328107,0.01911545831554652,8.000648688994712,0.008295449708950981,0.04886566307531019,7.730691667283584,66.70774145964555,1.0322935992526752,0.1453176041005507,-1.9274803616199074,0.44018090787164516,89.61329353660852,15.070269489780603,-62841.822213492975,1.2151334424339741,2.5396768516036676,30537.50575568601,92.01891298299466,14.818198219205646,26871.410153202123,2.2839062899922076,4.451120927910621,5344.213587526878
8,4937770,96.88707688118049,4.7802651806086525,7.761632246958175,0.02970511018704826,7.776880744328329,0.015376542092177571,7.688667201958069,0.04442382738252358,7.681010099697531,0.01662929747855848,0.03849397269727346,7.546091634760953,71.5834607212368,0.9560169044796964,0.044378785899066214,-1.2205681970381084,0.5503517789451533,72.21839887579722,38.82573279320607,30874.891107922354,9.588031605666625,6.864806790309495,5890.750986653227,91.88116012345488,18.267534793070435,18260.98052963776,5.827804481102704,9.214781748010296,4774.462583084555
9,5024414,79.44344355539054,1.4804346825347454,6.494783279313005,0.030877378871103853,6.479965153840409,0.013341715335208127,6.296585195842987,0.04524073698212574,6.353713041504818,0.012481386786350555,0.02790002246814258,6.283683053511851,58.80369204020572,0.7377952292986976,0.3578987948960527,-1.416563506061788,0.4451470722894066,70.96213411388173,17.36284645918436,-57943.45761535954,2.023792530706537,3.060858947134721,14407.549282412794,70.95852751005968,15.362946271440768,-40772.17747079301,2.5489628437421166,2.5243544493955326,9077.590318463484
