Inference for Stan model: anon_model_fcf36ecb9c937b17a466d4b2d8d7eb83.
4 chains, each with iter=180000; warmup=90000; thin=1; 
post-warmup draws per chain=90000, total post-warmup draws=360000.

              mean se_mean     sd   2.5%    25%    50%    75%  97.5%  n_eff   Rhat
numax[10]    45.17  2.2e-3   0.25  44.68   45.0  45.17  45.34  45.65  12561    1.0
numax[11]    54.47  3.8e-3   0.35  53.78  54.23  54.47  54.71  55.17 8951.0    1.0
numax[12]   102.61  5.7e-3   0.55 101.53 102.23  102.6 102.98  103.7 9524.0    1.0
numax[13]    58.31  2.2e-3   0.26  57.82  58.14  58.31  58.48  58.82  13140    1.0
numax[14]    51.71  2.8e-3   0.28  51.16  51.52  51.71   51.9  52.26  10151    1.0
numax[15]    45.76    0.49   0.89  44.57  45.08  45.43  46.55   47.6    3.0    1.8
numax[16]    47.53  3.0e-3   0.27   47.0  47.34  47.52  47.71  48.06 7959.0    1.0
numax[17]    51.66  3.1e-3   0.27  51.12  51.48  51.66  51.85  52.19 8032.0    1.0
numax[18]    90.23  2.6e-3   0.24  89.76  90.07  90.23  90.39  90.69 8261.0    1.0
numax[19]    89.46  5.0e-3   0.44  88.59  89.16  89.46  89.76  90.33 7899.0    1.0
numax[20]    46.22  3.5e-3   0.33  45.58   46.0  46.22  46.44  46.87 8629.0    1.0
numax[21]    55.18  3.9e-3   0.36  54.47  54.94  55.19  55.43  55.89 8613.0    1.0
numax[22]     49.7  3.7e-3   0.37  48.98  49.45   49.7  49.95  50.43 9780.0    1.0
numax[23]    60.54  3.1e-3   0.27  60.02  60.36  60.54  60.72  61.07 7673.0    1.0
numax[24]    45.54    0.21   0.49  44.61   45.2  45.54  45.89  46.49    5.0   1.25
numax[25]    48.27  1.5e-3    0.1  48.04  48.21  48.28  48.34  48.43 4609.0    1.0
numax[26]    68.51  4.8e-3   0.53  67.47  68.15  68.51  68.86  69.54  12167    1.0
numax[27]    93.56  5.0e-3   0.57  92.42  93.17  93.56  93.95  94.67  13026    1.0
numax[28]    50.14  3.4e-3   0.31  49.55  49.93  50.13  50.34  50.76 8093.0    1.0
numax[29]    69.77  5.5e-3   0.48  68.84  69.45  69.77  70.09  70.72 7473.0    1.0
numax[30]    48.92  3.7e-3   0.33  48.28  48.69  48.92  49.14  49.57 8125.0    1.0
numax[31]     50.3  3.6e-3   0.37  49.57  50.05   50.3  50.55  51.03  10534    1.0
numax[32]    54.17  2.1e-3    0.2  53.78  54.03  54.17   54.3  54.55 9232.0    1.0
numax[33]    57.65  4.8e-3    0.5  56.63  57.32  57.66  57.99  58.59  10786    1.0
numax[34]   101.57  5.5e-3   0.46 100.66 101.26 101.58 101.89 102.48 7131.0    1.0
numax[35]    53.08  2.7e-3   0.26  52.57  52.91  53.08  53.25  53.59 9432.0    1.0
numax[36]    63.88  3.2e-3   0.32  63.25  63.67  63.88   64.1  64.51  10214    1.0
numax[37]    51.55  3.9e-3   0.28  51.01  51.36  51.55  51.74  52.12 5392.0    1.0
numax[38]    53.36  2.4e-3   0.24   52.9   53.2  53.36  53.52  53.83 9885.0    1.0
numax[39]    69.06  4.7e-3   0.46  68.16  68.75  69.05  69.37  69.97 9731.0    1.0
numax[40]    76.22    0.26   0.42  75.62  75.91   76.1  76.47  77.13    3.0    2.0
numax[41]    57.64  2.6e-3   0.25  57.14  57.47  57.64  57.81  58.14 9570.0    1.0
numax[42]    57.64  2.4e-3   0.25  57.15  57.47  57.64  57.81  58.13  10716    1.0
numax[43]    56.71  3.1e-3   0.29  56.14  56.51  56.71  56.91  57.29 9135.0    1.0
numax[44]    56.97  3.8e-3   0.32  56.35  56.76  56.97  57.19   57.6 6982.0    1.0
numax[45]    48.69  3.0e-3   0.28  48.14   48.5  48.69  48.88  49.25 9079.0    1.0
numax[46]    70.43  4.7e-3   0.44  69.57  70.13  70.43  70.73   71.3 8882.0    1.0
numax[47]    62.62  4.4e-3    0.4  61.84  62.35  62.62  62.89  63.42 8316.0    1.0
numax[48]    71.95  3.6e-3   0.31  71.34  71.74  71.95  72.16  72.56 7626.0    1.0
numax[49]    47.86  5.1e-3   0.47  46.95  47.54  47.85  48.17  48.81 8526.0    1.0
numax[50]    55.09  3.2e-3   0.36  54.39  54.85  55.09  55.33  55.79  12712    1.0
phi[1]        0.69  2.0e-3   0.18   0.34   0.57   0.69   0.81   1.04 8084.0    1.0
phi[2]        0.49    0.07   0.51  -0.08   0.21   0.36   0.55   2.05   47.0   1.07
phi[3]        1.74  2.6e-3   0.21   1.38   1.59   1.72   1.86    2.2 6609.0    1.0
phi[4]         0.5  2.5e-3    0.2   0.06   0.39   0.52   0.64   0.84 6042.0    1.0
phi[5]        1.05    0.01   0.11    0.8   0.99   1.06   1.13   1.22   91.0   1.03
phi[6]        1.36    0.96   1.37   0.19   0.51   0.67   2.08   3.96    2.0   7.59
phi[7]        0.58  3.0e-3   0.26   0.08    0.4   0.58   0.76   1.11 7839.0    1.0
phi[8]        2.51    2.19   3.11  -1.11  -0.67   2.95   5.59   6.05    2.0   8.87
phi[9]        1.06    0.02   0.29   0.55   0.87   1.04   1.22   1.69  327.0   1.01
phi[10]       1.13  1.7e-3   0.16    0.8   1.03   1.13   1.23   1.45 9406.0    1.0
phi[11]       1.11  1.9e-3   0.18   0.76   0.99    1.1   1.22   1.46 8382.0    1.0
phi[12]       1.23  3.4e-3   0.32   0.68   1.01    1.2   1.42   1.95 9097.0    1.0
phi[13]       1.02  1.6e-3   0.14   0.69   0.94   1.04   1.12   1.25 8138.0   1.01
phi[14]       0.75  1.8e-3   0.16   0.41   0.65   0.76   0.87   1.05 8522.0    1.0
phi[15]       1.76    0.95    1.8  -0.43   0.11   1.48   3.55   5.08    4.0   1.83
phi[16]       2.03  2.5e-3   0.19   1.66    1.9   2.03   2.15    2.4 5555.0   1.01
phi[17]       0.58  2.4e-3   0.19   0.22   0.46   0.58   0.71   0.96 6008.0   1.01
phi[18]       2.75    0.03   0.11   2.52   2.68   2.76   2.83   2.95   11.0   1.11
phi[19]       1.75  1.7e-3   0.15   1.46   1.65   1.75   1.85   2.05 8099.0    1.0
phi[20]       0.67  1.7e-3   0.16   0.35   0.56   0.67   0.78   0.98 8911.0    1.0
phi[21]        1.6    0.96   1.37   0.54   0.75   0.88    2.6   4.14    2.0  10.08
phi[22]       0.14  2.6e-3   0.26   -0.4  -0.04   0.14   0.32   0.63  10023    1.0
phi[23]        2.1  1.6e-3   0.14   1.83    2.0    2.1   2.19   2.36 7613.0    1.0
phi[24]       3.48    1.23   1.79   0.95   1.98    3.4   5.01   6.27    2.0   4.21
phi[25]      -0.91  8.4e-4   0.06  -1.04  -0.95  -0.91  -0.87  -0.82 4674.0    1.0
phi[26]       0.35  2.0e-3   0.17   0.01   0.24   0.35   0.47   0.69 7696.0    1.0
phi[27]       0.38  4.7e-3    0.4   -0.4   0.09    0.4   0.68   1.08 7120.0    1.0
phi[28]      -0.25  4.6e-3   0.37  -1.03   -0.5  -0.22   0.02   0.41 6479.0    1.0
phi[29]       0.06  2.1e-3   0.18   -0.3  -0.06   0.06   0.18   0.41 7659.0    1.0
phi[30]       0.77  2.7e-3   0.25   0.29   0.59   0.76   0.93   1.28 8999.0    1.0
phi[31]       0.09  2.5e-3   0.22  -0.35  -0.06   0.09   0.24    0.5 7864.0    1.0
phi[32]        1.4  1.7e-3   0.14   1.13   1.31    1.4   1.49   1.67 6817.0    1.0
phi[33]       0.92    1.93   2.74   -0.9  -0.73  -0.61   2.96   5.85    2.0  20.36
phi[34]       1.52  1.5e-3   0.13   1.27   1.44   1.52   1.61   1.78 7201.0    1.0
phi[35]       1.19  2.0e-3   0.17   0.87   1.08   1.19    1.3   1.52 6700.0    1.0
phi[36]       0.51  2.2e-3   0.21   0.12   0.37   0.51   0.65   0.95 9345.0    1.0
phi[37]       1.32    0.01   0.29   0.65   1.18   1.36   1.51   1.77  768.0    1.0
phi[38]       1.81  1.7e-3   0.16    1.5    1.7    1.8   1.92   2.14 9209.0    1.0
phi[39]       1.25  3.0e-3   0.29   0.66   1.05   1.25   1.44   1.82 9371.0    1.0
phi[40]       1.88    0.87   1.24   1.03   1.15   1.21   2.23    4.4    2.0    8.1
phi[41]       2.23    0.07   0.51   1.74   1.99   2.12   2.27   4.15   51.0   1.07
phi[42]        2.2    0.05   0.46   1.74   1.98   2.12   2.27   4.04   89.0   1.06
phi[43]       1.42  2.4e-3   0.22   0.99   1.27   1.42   1.56   1.86 8074.0    1.0
phi[44]       2.25  5.4e-3   0.21   1.84   2.11   2.25   2.39   2.67 1527.0   1.02
phi[45]       0.86  2.2e-3   0.22   0.42   0.72   0.86    1.0   1.27  10005    1.0
phi[46]       0.56  2.2e-3    0.2   0.16   0.42   0.56    0.7   0.96 8933.0    1.0
phi[47]       0.94  2.6e-3   0.22   0.51   0.79   0.94   1.09   1.38 7232.0    1.0
phi[48]       1.89  1.6e-3   0.14   1.62    1.8   1.89   1.99   2.18 8000.0    1.0
phi[49]       0.13    0.04   0.63  -0.69  -0.26  -0.01   0.29   1.93  217.0   1.02
phi[50]       0.11  2.2e-3    0.2  -0.29  -0.02   0.12   0.25   0.51 8815.0    1.0
G[1]          2.88  6.9e-4   0.08   2.73   2.83   2.88   2.93   3.03  12007    1.0
G[2]          2.58    0.05   0.38   1.58   2.47   2.66   2.82   3.15   52.0   1.07
G[3]          3.58  6.4e-3   0.49   2.65   3.26   3.56    3.9   4.61 5831.0    1.0
G[4]          6.09  5.8e-3   0.47   5.15   5.79    6.1   6.41   6.98 6363.0    1.0
G[5]          7.13  5.2e-3   0.38    6.4   6.88   7.13   7.39   7.89 5390.0   1.01
G[6]          6.08  5.2e-3    0.5   5.09   5.74   6.08   6.41   7.05 9077.0    1.0
G[7]          3.06  1.9e-3   0.18   2.74   2.93   3.05   3.18   3.45 9269.0    1.0
G[8]          2.79    0.02   0.36   2.45   2.63   2.73   2.84   4.11  466.0   1.03
G[9]          2.45    0.01   0.15   1.83    2.4   2.46   2.53   2.65  117.0   1.03
G[10]         4.33  9.4e-3   0.62   3.06   3.92   4.36   4.76   5.48 4358.0   1.01
G[11]          2.9  1.2e-3   0.12   2.71   2.81   2.88   2.96   3.18 9293.0    1.0
G[12]          3.5  5.0e-3   0.45   2.73   3.18   3.47   3.76    4.5 8159.0    1.0
G[13]         5.23  6.2e-3    0.5    4.2    4.9   5.24   5.57   6.18 6582.0   1.01
G[14]         5.29  6.0e-3    0.5   4.23   4.97   5.31   5.63   6.22 7145.0    1.0
G[15]         1.83     0.3   0.61   1.06   1.11   1.79   2.42   2.71    4.0   1.71
G[16]         2.42  2.8e-3   0.08   2.26   2.36   2.42   2.47   2.57  798.0   1.01
G[17]         2.37  2.3e-3   0.09    2.2   2.31   2.37   2.42   2.54 1384.0   1.01
G[18]         2.19    0.17   0.25   1.72    2.0   2.28   2.36    2.5    2.0    3.4
G[19]         3.26  1.4e-3   0.14   3.03   3.16   3.25   3.34   3.57 9968.0    1.0
G[20]         3.29  1.8e-3   0.18   2.99   3.17   3.27   3.39   3.68 9445.0    1.0
G[21]         4.79  5.4e-3   0.44   3.89   4.52    4.8   5.08   5.61 6418.0    1.0
G[22]         2.97  1.6e-3   0.18   2.63   2.85   2.97   3.09   3.32  12469    1.0
G[23]         2.62  8.7e-4   0.08   2.46   2.56   2.61   2.67   2.79 8891.0   1.01
G[24]         3.76    1.85   2.63   1.12   1.14   2.92   6.36   7.09    2.0  10.06
G[25]         2.89  1.5e-4   0.02   2.86   2.88   2.89    2.9   2.92  13115    1.0
G[26]         6.61  3.4e-3   0.31   6.02   6.39    6.6   6.81   7.25 8736.0    1.0
G[27]         5.03  4.8e-3   0.51   4.03   4.69   5.03   5.37   6.02  11223    1.0
G[28]          3.1  6.0e-3   0.44   2.41    2.8   3.05   3.34   4.16 5380.0    1.0
G[29]          3.3  1.3e-3   0.13   3.09   3.21   3.29   3.37   3.59 9612.0    1.0
G[30]         2.79  1.4e-3   0.15   2.53   2.69   2.78   2.89   3.13  11604    1.0
G[31]         4.84  5.7e-3   0.51   3.87   4.48   4.83   5.18   5.86 8003.0    1.0
G[32]         2.36 10.0e-4   0.09   2.19    2.3   2.36   2.42   2.53 7556.0   1.01
G[33]         6.98  3.5e-3   0.36    6.3   6.73   6.97   7.22   7.72  10794    1.0
G[34]         3.19  5.7e-4   0.07   3.07   3.15   3.19   3.23   3.33  13523    1.0
G[35]         2.39  1.8e-3   0.13   2.17   2.29   2.38   2.47   2.67 5281.0   1.01
G[36]         3.83  5.1e-3   0.45   3.08   3.52   3.78   4.08   4.85 7732.0    1.0
G[37]         3.29    0.04   0.92   2.69   2.85   2.96   3.14   6.12  429.0    1.0
G[38]         2.58  2.4e-3   0.22   2.22   2.42   2.57   2.73   3.04 8454.0    1.0
G[39]         2.76  1.6e-3   0.16   2.49   2.65   2.74   2.85   3.11 9872.0    1.0
G[40]         5.07    1.64   2.36   1.05   2.01    6.2   6.63   7.33    2.0    5.7
G[41]         2.43    0.02   0.26   1.76   2.28   2.45   2.61   2.86  113.0   1.03
G[42]         2.44    0.02   0.25   1.77   2.29   2.46   2.62   2.86  192.0   1.03
G[43]         2.87  2.4e-3    0.2   2.55   2.74   2.85   2.98   3.32 6785.0    1.0
G[44]         2.33  5.4e-4   0.06   2.21    2.3   2.33   2.37   2.44  11449    1.0
G[45]          2.9  1.7e-3   0.16   2.62   2.79   2.88   2.99   3.26 9497.0    1.0
G[46]         2.96  1.1e-3   0.12   2.73   2.88   2.96   3.04    3.2  12714    1.0
G[47]         2.44  6.7e-3   0.18   2.18   2.33   2.43   2.53   2.77  674.0   1.01
G[48]          2.5  1.2e-3   0.11   2.28   2.42    2.5   2.57   2.72 8638.0    1.0
G[49]         2.27    0.01    0.2   1.75   2.21    2.3   2.39   2.58  223.0   1.02
G[50]         6.48  4.4e-3   0.43   5.64    6.2   6.48   6.77   7.34 9626.0    1.0
tau[1]      1011.3    0.57  63.31 892.04 967.97 1009.6 1052.9 1140.2  12317    1.0
tau[2]       837.3    0.62  63.49 718.51 793.55 835.51  878.9 967.15  10628    1.0
tau[3]      715.93    0.64  64.88 597.09 670.57 713.28 758.25 849.77  10370    1.0
tau[4]      839.11    0.81  76.56 693.33 786.39 837.55 890.46 992.84 8861.0    1.0
tau[5]      902.43    0.73  75.53  758.1 850.61 901.07  953.0 1053.7  10782    1.0
tau[6]      823.85    0.74  76.57 677.59 771.56 822.61 874.76 977.25  10627    1.0
tau[7]      1091.2    0.57  63.55 970.79 1047.7 1089.8 1133.1 1219.8  12457    1.0
tau[8]      732.71    0.68  69.43 602.39 684.77 730.55 778.62 874.38  10485    1.0
tau[9]      901.77    0.63  64.85 779.69 857.08 899.99 944.72 1032.6  10615    1.0
tau[10]     741.11     0.8  73.51 601.02 690.57 739.74  790.0 888.61 8340.0    1.0
tau[11]     927.64    0.59  64.21 807.09 883.17 926.01 970.06 1058.2  11738    1.0
tau[12]     1053.3    0.58  61.95 936.32 1010.6 1051.8 1094.3 1178.9  11423    1.0
tau[13]      808.3    0.73  72.51 671.11  758.4 806.65  856.5  955.2 9793.0    1.0
tau[14]     785.11    0.77  76.58 640.76 732.24 783.34 835.89 940.57 9918.0    1.0
tau[15]     817.03   61.62 124.48 545.66  736.3  842.6 907.43 1010.4    4.0    1.5
tau[16]     995.62    0.59  65.93 871.17 950.18 993.93 1039.6 1128.8  12521    1.0
tau[17]     900.82    0.66   64.8 778.35 856.28 899.35 943.68 1032.1 9621.0    1.0
tau[18]     1099.1    0.58  61.39 983.46 1056.7 1097.8 1139.8 1223.8  11107    1.0
tau[19]     953.51    0.61  61.01 838.76 911.52 951.87 993.58 1078.1 9874.0    1.0
tau[20]     824.96    0.64  67.41 698.81 778.35 823.05 869.48 962.13  11194    1.0
tau[21]     709.58    0.86  77.08  564.4 656.21 707.38 760.62 866.38 8052.0    1.0
tau[22]     942.34    0.57  64.05 821.45 898.23 940.75 984.78 1072.2  12443    1.0
tau[23]     982.37    0.59  64.25 860.76 938.09 980.79 1025.0 1112.4  12048    1.0
tau[24]     702.03   32.98  93.98 514.17 638.37 704.15 766.79 881.89    8.0   1.15
tau[25]     533.61    1.22  91.58 360.23 470.09 532.37 595.39 716.79 5635.0    1.0
tau[26]     716.25    0.83  78.67 566.64 662.22 715.03 768.76 874.11 9046.0    1.0
tau[27]     699.99    0.77   79.7 548.73 645.51 698.14  752.8 860.48  10615    1.0
tau[28]     882.25    0.65  69.96  748.0 835.01 881.18 928.48 1021.9  11452    1.0
tau[29]     985.68    0.59  62.34 868.03 942.76 984.23 1027.0 1112.1  11339    1.0
tau[30]     946.05    0.59  67.03  819.2 900.02 944.41 990.07 1082.8  12974    1.0
tau[31]     774.93    0.77  77.78 624.95 722.03 774.15 827.25 929.64  10246    1.0
tau[32]     1133.4    0.59   65.0 1010.3 1088.8 1131.8 1176.5 1265.0  12178    1.0
tau[33]     807.22    0.85  76.03 663.27 754.94 805.31 857.43 961.06 8013.0    1.0
tau[34]     1142.1    0.61  61.39 1025.3 1100.0 1140.9 1182.7 1265.6  10237    1.0
tau[35]     1002.6    0.58  64.86 880.38 958.04 1000.8 1045.4 1134.9  12410    1.0
tau[36]      850.8    0.65  66.16 724.95 805.73  849.3  894.5 984.53  10469    1.0
tau[37]     909.08    2.39  81.27 721.65 862.78 913.85 962.78 1056.0 1158.0    1.0
tau[38]     813.11     0.6  62.85 696.08 769.63 810.99 854.24 942.37  10966    1.0
tau[39]     1029.8    0.56  62.29 911.68 987.28 1028.2 1070.8 1156.5  12468    1.0
tau[40]     896.06   94.65  150.9 560.54  817.9 938.98 1002.0 1106.8    3.0   2.07
tau[41]     808.27     0.6  61.86 693.73 765.37 805.95 848.67 936.43  10571    1.0
tau[42]      807.2    0.61  61.83 692.16 764.31 805.21 847.79 934.54  10152    1.0
tau[43]     790.13    0.62   62.5 673.74 747.06 787.94 831.02 918.61  10289    1.0
tau[44]     995.21    0.63   65.7 871.52 949.86 993.61 1038.7 1128.2  10947    1.0
tau[45]     790.28    0.63  64.47 670.95 745.67  787.8 832.16 923.39  10487    1.0
tau[46]     1014.9    0.59  63.17 895.14 971.51 1013.4 1056.7 1142.8  11495    1.0
tau[47]     970.72    0.58  64.82 847.88 926.45 969.28 1013.8 1101.7  12469    1.0
tau[48]     1009.2    0.59  61.66 892.85 966.81 1007.6 1049.7 1134.7  10768    1.0
tau[49]     828.52    0.67  72.21  692.5 778.66 826.72 876.27 975.56  11467    1.0
tau[50]     811.61    0.73  76.18 666.95 759.54 810.13 861.71  965.8  10769    1.0
eps_std[1]    -0.3  5.6e-3   0.15  -0.59   -0.4   -0.3   -0.2  -0.01  695.0    1.0
eps_std[2]   -0.29  6.9e-3   0.18  -0.64  -0.41  -0.29  -0.17   0.06  669.0    1.0
eps_std[3]   -0.67  5.9e-3   0.16  -0.99  -0.78  -0.67  -0.56  -0.36  742.0   1.01
