Inference for Stan model: anon_model_6164d8efe974107dc2b96f1559771960.
4 chains, each with iter=15000; warmup=7500; thin=1; 
post-warmup draws per chain=7500, total post-warmup draws=30000.

                  mean se_mean     sd   2.5%    25%    50%    75%  97.5%  n_eff   Rhat
numax[9]         67.84    0.02   0.43   67.0  67.55  67.85  68.13  68.66  582.0    1.0
numax[10]        45.97  7.9e-3   0.23  45.52  45.81  45.97  46.12  46.44  878.0   1.01
numax[11]        55.56    0.01   0.32  54.93  55.34  55.56  55.78  56.17  770.0    1.0
numax[12]       105.19    0.02   0.51 104.18 104.84 105.18 105.54 106.19  594.0   1.01
numax[13]        58.93  7.6e-3   0.24  58.46  58.77  58.94   59.1   59.4  992.0    1.0
numax[14]        52.58  9.0e-3   0.28  52.05   52.4  52.59  52.77  53.12  943.0    1.0
numax[15]        46.83    0.01   0.33  46.18  46.61  46.83  47.06  47.51  772.0   1.01
numax[16]        48.19  9.9e-3   0.27  47.67  48.02  48.19  48.37  48.72  730.0    1.0
numax[17]         52.7  9.3e-3   0.26  52.17  52.52  52.71  52.87  53.19  769.0   1.01
numax[18]        90.68  8.9e-3   0.23  90.24  90.53  90.68  90.83  91.13  646.0    1.0
numax[19]        91.93    0.02   0.39  91.17  91.66  91.92   92.2  92.71  655.0   1.01
numax[20]        47.06    0.04   0.32  46.45  46.84  47.05  47.28  47.69   79.0   1.05
numax[21]         56.1    0.01   0.38  55.37  55.85   56.1  56.36  56.84  681.0   1.01
numax[22]        50.48    0.04   0.33  49.81  50.26  50.49  50.71  51.13   74.0   1.04
numax[23]        61.41  9.8e-3   0.26  60.91  61.24  61.41  61.59  61.91  691.0   1.01
numax[24]         46.0    0.03   0.33  45.33  45.78   46.0  46.23  46.63  143.0   1.04
numax[25]        48.93    0.11   0.16  48.71  48.77  48.95  49.08  49.14    2.0   4.43
numax[26]        68.46    0.02   0.48  67.54  68.14  68.45  68.79  69.42  846.0   1.01
numax[27]        93.46    0.02   0.56  92.34  93.09  93.46  93.83  94.56  877.0   1.01
numax[28]        51.01  9.1e-3   0.28  50.45  50.81  51.01   51.2  51.57  978.0    1.0
numax[29]        71.93    0.02   0.45  71.05  71.62  71.92  72.23  72.81  559.0   1.01
numax[30]        50.41    0.01   0.31   49.8   50.2   50.4  50.62  51.02  967.0    1.0
numax[31]        51.24    0.01   0.36  50.54   51.0  51.23  51.48  51.97  866.0   1.01
numax[32]        54.65  6.4e-3    0.2  54.27  54.52  54.65  54.78  55.03  932.0   1.01
numax[33]        56.72    0.02   0.44  55.86  56.41  56.72  57.02  57.56  614.0   1.01
