                                                                                                                                                                                                                                                                
                        1                        2
                   M_star                   R_star
  0.3580560000000000E+034  0.5554820292470674E+012
                        1                        2                        3                        4                        5
                        l                     n_pg                 Re(freq)                 Im(freq)                   E_norm
                        0                        1  0.2039160144736707E+002  0.0000000000000000E+000  0.2004423706018484E-004
                        0                        2  0.2684686773273539E+002  0.0000000000000000E+000  0.3285669007772237E-005
                        0                        3  0.3327763187219378E+002  0.0000000000000000E+000  0.9586561735832330E-006
                        0                        4  0.3974686766187879E+002  0.0000000000000000E+000  0.5617611706714770E-006
                        0                        5  0.4691185518905519E+002  0.0000000000000000E+000  0.4653561732511283E-006
                        0                        6  0.5449209052945640E+002  0.0000000000000000E+000  0.3973482042921234E-006
                        0                        7  0.6230510921842675E+002  0.0000000000000000E+000  0.3374734570625165E-006
                        0                        8  0.7024342563658175E+002  0.0000000000000000E+000  0.2770757147538718E-006
                        0                        9  0.7817544464610224E+002  0.0000000000000000E+000  0.2249088134969459E-006
                        0                       10  0.8606924171260098E+002  0.0000000000000000E+000  0.1912665924644273E-006
                        0                       11  0.9395702005327824E+002  0.0000000000000000E+000  0.1780012570305840E-006
                        0                       12  0.1019139287491620E+003  0.0000000000000000E+000  0.1828731994793498E-006
                        0                       13  0.1100055772235037E+003  0.0000000000000000E+000  0.1997893911489786E-006
                        0                       14  0.1182303856871295E+003  0.0000000000000000E+000  0.2206388470148769E-006
                        0                       15  0.1265503904011295E+003  0.0000000000000000E+000  0.2388860976499255E-006
                        0                       16  0.1349242117840839E+003  0.0000000000000000E+000  0.2512927278147703E-006
                        0                       17  0.1433201522053850E+003  0.0000000000000000E+000  0.2578706704962872E-006
